Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Time_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie,bookie_gap
2024-10-20,Lecce,Fiorentina,0.1826484099219755,0.2457115744864652,0.5716400155915592,Away,0.5716400155915592,A,14:00:00,A,3.2,3.3,2.3,3.2,3.3,2.3,2.95,3.25,2.4,3.3,3.27,2.35,3.0,3.3,2.4,both,2025-09-06 14:00:00,76,A,True,37,0.4868421052631579,1.749352691772556,2.4,BWA,0.650647308227444
2024-10-20,Cagliari,Torino,0.201069257564192,0.2662319458961653,0.5326987965396427,Away,0.5326987965396427,A,17:00:00,H,2.8,3.1,2.7,2.75,3.1,2.7,2.75,3.25,2.6,2.85,3.18,2.72,2.8,3.2,2.6,both,2025-09-06 17:00:00,78,A,False,38,0.4871794871794871,1.8772334506777533,2.72,PSA,0.8427665493222469
2024-10-25,Udinese,Cagliari,0.5521551612315988,0.2769719697935045,0.1708728689748966,Home,0.5521551612315988,H,17:30:00,H,2.2,3.3,3.3,2.25,3.2,3.5,2.25,3.1,3.4,2.29,3.21,3.58,2.3,3.0,3.5,both,2025-09-06 17:30:00,81,H,True,40,0.4938271604938271,1.811085126451539,2.3,WHH,0.48891487354846075
2024-10-25,Torino,Como,0.6215204638059336,0.2480760163425539,0.1304035198515124,Home,0.6215204638059336,H,19:45:00,H,2.63,3.0,2.9,2.63,3.0,3.0,2.6,3.0,2.87,2.75,3.03,3.0,2.7,3.0,2.9,both,2025-09-06 19:45:00,82,H,True,41,0.5,1.608957481265242,2.75,PSH,1.141042518734758
2024-10-27,Parma,Empoli,0.2436840672201085,0.2661897009302077,0.4901262318496838,Away,0.4901262318496838,A,11:30:00,D,2.15,3.3,3.5,2.2,3.3,3.4,2.2,3.4,3.25,2.19,3.45,3.49,2.2,3.3,3.4,both,2025-09-06 11:30:00,85,A,False,43,0.5058823529411764,2.040290714957466,3.5,B365A,1.4597092850425342
2024-10-27,Monza,Venezia,0.4840057589080448,0.33162804765519,0.1843661934367652,Home,0.4840057589080448,H,14:00:00,D,2.15,3.25,3.6,2.2,3.1,3.75,2.15,3.2,3.5,2.19,3.24,3.74,2.2,3.2,3.6,both,2025-09-06 14:00:00,86,H,False,43,0.5,2.06609111894883,2.2,BFH,0.13390888105117016
2024-10-27,Lazio,Genoa,0.6589892655814935,0.2136962339530499,0.1273145004654564,Home,0.6589892655814935,H,14:00:00,H,1.53,4.2,6.25,1.5,4.33,7.0,1.53,4.1,6.0,1.52,4.36,6.57,1.55,4.2,6.0,both,2025-09-06 14:00:00,87,H,True,44,0.5057471264367817,1.5174754009347904,1.55,WHH,0.03252459906520966
2024-10-27,Fiorentina,Roma,0.5178994715786631,0.2755082191261838,0.2065923092951531,Home,0.5178994715786631,H,19:45:00,H,2.55,3.4,2.75,2.63,3.25,2.8,2.5,3.3,2.75,2.6,3.24,2.95,2.6,3.2,2.8,both,2025-09-06 19:45:00,89,H,True,45,0.5056179775280899,1.930876656336019,2.63,BFH,0.699123343663981
2024-10-29,Cagliari,Bologna,0.2006966072338388,0.2939952658468092,0.505308126919352,Away,0.505308126919352,A,17:30:00,A,3.0,3.25,2.35,3.1,3.2,2.5,2.95,3.1,2.5,3.25,3.19,2.46,3.1,3.25,2.4,both,2025-09-06 17:30:00,90,A,True,46,0.5111111111111111,1.9789905341451228,2.5,BFA,0.5210094658548772
2024-10-29,Lecce,Verona,0.3426749506601619,0.3013442138314515,0.3559808355083866,Away,0.3559808355083866,A,17:30:00,H,2.25,3.25,3.25,2.3,3.1,3.4,2.37,3.1,3.1,2.34,3.25,3.41,2.38,3.1,3.25,both,2025-09-06 17:30:00,91,A,False,46,0.5054945054945055,2.8091399880329817,3.41,PSA,0.6008600119670184
2024-10-29,Milan,Napoli,0.5332730043707367,0.2576681088543401,0.2090588867749231,Home,0.5332730043707367,H,19:45:00,A,2.45,3.4,2.8,2.5,3.4,2.88,2.45,3.3,2.85,2.59,3.4,2.88,2.45,3.5,2.8,both,2025-09-06 19:45:00,92,H,False,46,0.5,1.87521211800324,2.59,PSH,0.7147878819967599
2024-10-30,Venezia,Udinese,0.2292218727153938,0.2834747734128698,0.4873033538717364,Away,0.4873033538717364,A,17:30:00,H,2.7,3.25,2.65,2.75,3.2,2.75,2.7,3.2,2.7,2.82,3.16,2.77,2.8,3.1,2.7,both,2025-09-06 17:30:00,94,A,False,47,0.5,2.0521098245164366,2.77,PSA,0.7178901754835634
2024-10-30,Juventus,Parma,0.7333196805138728,0.1831403866661901,0.0835399328199369,Home,0.7333196805138728,H,19:45:00,D,1.4,4.75,8.0,1.4,4.75,8.0,1.38,5.0,7.75,1.41,4.95,7.98,1.4,4.75,8.0,both,2025-09-06 19:45:00,96,H,False,48,0.5,1.3636617515832268,1.41,PSH,0.04633824841677314
2024-10-31,Genoa,Fiorentina,0.1606542030726319,0.261048967669055,0.5782968292583129,Away,0.5782968292583129,A,17:30:00,A,4.2,3.9,1.8,4.5,3.75,1.8,4.33,3.6,1.82,4.64,3.74,1.81,4.33,3.6,1.83,both,2025-09-06 17:30:00,97,A,True,49,0.5051546391752577,1.7292157753701278,1.83,WHA,0.10078422462987224
2024-10-31,Como,Lazio,0.1386217075285085,0.2135016559801298,0.6478766364913617,Away,0.6478766364913617,A,19:45:00,A,2.88,3.3,2.45,2.9,3.3,2.5,2.8,3.3,2.5,2.98,3.32,2.52,2.88,3.4,2.45,both,2025-09-06 19:45:00,98,A,True,50,0.5102040816326531,1.5435037222758892,2.52,PSA,0.9764962777241109
2024-11-02,Bologna,Lecce,0.629151177121711,0.2392360664792903,0.1316127563989987,Home,0.629151177121711,H,14:00:00,H,1.62,3.5,6.5,1.65,3.6,6.5,1.63,3.7,5.75,1.65,3.58,5.9,1.65,3.7,5.8,both,2025-09-06 14:00:00,100,H,True,52,0.52,1.5894431042390744,1.65,BFH,0.06055689576092549
2024-11-02,Udinese,Juventus,0.1268182370928395,0.1874618465920635,0.6857199163150969,Away,0.6857199163150969,A,17:00:00,A,4.2,3.2,1.95,4.5,3.2,1.95,4.1,3.2,1.98,4.24,3.14,2.01,4.2,3.2,2.0,both,2025-09-06 17:00:00,101,A,True,53,0.5247524752475248,1.458321358629589,2.01,PSA,0.5516786413704109
2024-11-02,Monza,Milan,0.1674762102170232,0.2338976987669017,0.598626091016075,Away,0.598626091016075,A,19:45:00,A,5.0,3.6,1.7,5.0,3.9,1.67,5.0,3.7,1.71,4.96,3.75,1.71,5.0,3.8,1.7,both,2025-09-06 19:45:00,102,A,True,54,0.5294117647058824,1.6704918395766128,1.71,BWA,0.03950816042338712
2024-11-03,Napoli,Atalanta,0.5014189228511327,0.2709940366335652,0.2275870405153021,Home,0.5014189228511327,H,11:30:00,A,2.05,3.4,3.7,2.05,3.4,3.8,2.05,3.5,3.5,2.11,3.31,3.64,2.05,3.5,3.6,both,2025-09-06 11:30:00,103,H,False,54,0.5242718446601942,1.9943403697528428,2.11,PSH,0.11565963024715709
2024-11-04,Empoli,Como,0.4295134037894353,0.3026106316178046,0.2678759645927602,Home,0.4295134037894353,H,17:30:00,H,2.7,3.1,2.63,2.7,3.25,2.7,2.75,3.2,2.6,2.75,3.04,2.8,2.7,3.2,2.7,both,2025-09-06 17:30:00,107,H,True,57,0.5327102803738317,2.3282160490857238,2.75,BWH,0.42178395091427623
2024-11-04,Lazio,Cagliari,0.701322869040434,0.1935926087037091,0.1050845222558569,Home,0.701322869040434,H,19:45:00,H,1.5,3.75,7.5,1.44,4.6,7.0,1.52,4.2,6.5,1.51,4.14,6.57,1.53,4.2,6.5,both,2025-09-06 19:45:00,109,H,True,58,0.5321100917431193,1.4258767882020202,1.53,WHH,0.10412321179797979
2024-11-07,Genoa,Como,0.4221490717259429,0.3299820315987177,0.2478688966753393,Home,0.4221490717259429,H,19:45:00,D,2.88,3.3,2.45,3.1,3.25,2.4,2.95,3.2,2.45,3.11,3.0,2.54,3.0,3.0,2.3,both,2025-09-06 19:45:00,110,H,False,58,0.5272727272727272,2.368831455465559,3.11,PSH,0.7411685445344407
2024-11-08,Lecce,Empoli,0.3044477601887133,0.2902270812686685,0.4053251585426181,Away,0.4053251585426181,A,19:45:00,D,2.4,3.0,3.3,2.4,2.88,3.4,2.4,2.95,3.3,2.48,2.97,3.48,2.45,2.88,3.4,both,2025-09-06 19:45:00,111,A,False,58,0.5225225225225225,2.467155020911081,3.48,PSA,1.0128449790889191
2024-11-09,Venezia,Parma,0.4461692024037752,0.3180621757394269,0.2357686218567978,Home,0.4461692024037752,H,14:00:00,A,2.55,3.4,2.7,2.63,3.3,2.8,2.55,3.5,2.6,2.61,3.33,2.85,2.5,3.4,2.8,both,2025-09-06 14:00:00,112,H,False,58,0.5178571428571429,2.24130216656016,2.63,BFH,0.3886978334398399
