match_index,Date,HomeTeam,AwayTeam,predicted,predicted_pct,fair_odds,max_bookie_odds,max_bookie,stake,profit,capital_after,pred_correct
662,2025-03-15,Monza,Parma,Home,0.4356921955132067,2.295198331065097,3.1,B365H,1.0,-1.0,44.02,False
669,2025-03-16,Fiorentina,Juventus,Home,0.4212939114275518,2.3736398102965843,3.5,BFH,1.0,2.5,46.52,True
698,2025-04-13,Como,Torino,Away,0.4908864737981738,2.0371308915127013,4.34,PSA,1.0,-1.0,45.52,False
699,2025-04-13,Lazio,Roma,Home,0.4986317427944045,2.005488046941928,2.91,PSH,1.0,-1.0,44.52,False
705,2025-04-20,Bologna,Inter,Home,0.3844102136434889,2.601387696028867,3.5,BFH,1.0,2.5,47.02,True
710,2025-04-23,Torino,Udinese,Home,0.5439102147828571,1.8385387382349965,2.45,BFH,1.0,1.4500000000000002,48.47,True
721,2025-05-02,Torino,Venezia,Home,0.6436524281167162,1.5536335393403748,2.51,PSH,1.0,-1.0,47.47,False
739,2025-05-12,Venezia,Fiorentina,Away,0.6115505576169213,1.635187782179091,2.46,PSA,1.0,-1.0,46.47,False
744,2025-05-18,Monza,Empoli,Home,0.4076121025990867,2.4533128276212293,5.0,B365H,1.0,-1.0,45.47,False
745,2025-05-18,Lecce,Torino,Away,0.5095642366634487,1.9624611149084008,4.62,PSA,1.0,-1.0,44.47,False
748,2025-05-18,Fiorentina,Bologna,Home,0.4619763305015827,2.1646130634317724,2.82,PSH,1.0,1.8199999999999998,46.29,True
756,2025-05-25,Atalanta,Parma,Home,0.7348845902553564,1.3607578839726682,1.78,PSH,1.0,-1.0,45.29,False
