2025-03-31 Lazio vs Torino: combined_future_rows=82, features_future_rows=82
2025-03-31 Verona vs Parma: combined_future_rows=82, features_future_rows=82
2025-04-04 Genoa vs Udinese: combined_future_rows=80, features_future_rows=80
2025-04-05 Parma vs Inter: combined_future_rows=79, features_future_rows=79
2025-04-05 Milan vs Fiorentina: combined_future_rows=79, features_future_rows=79
2025-04-05 Monza vs Como: combined_future_rows=79, features_future_rows=79
2025-04-06 Roma vs Juventus: combined_future_rows=76, features_future_rows=76
2025-04-06 Torino vs Verona: combined_future_rows=76, features_future_rows=76
2025-04-06 Atalanta vs Lazio: combined_future_rows=76, features_future_rows=76
2025-04-06 Lecce vs Venezia: combined_future_rows=76, features_future_rows=76
2025-04-06 Empoli vs Cagliari: combined_future_rows=76, features_future_rows=76
2025-04-07 Bologna vs Napoli: combined_future_rows=71, features_future_rows=71
2025-04-11 Udinese vs Milan: combined_future_rows=70, features_future_rows=70
2025-04-12 Juventus vs Lecce: combined_future_rows=69, features_future_rows=69
2025-04-12 Venezia vs Monza: combined_future_rows=69, features_future_rows=69
2025-04-12 Inter vs Cagliari: combined_future_rows=69, features_future_rows=69
2025-04-13 Lazio vs Roma: combined_future_rows=66, features_future_rows=66
2025-04-13 Como vs Torino: combined_future_rows=66, features_future_rows=66
2025-04-13 Verona vs Genoa: combined_future_rows=66, features_future_rows=66
2025-04-13 Atalanta vs Bologna: combined_future_rows=66, features_future_rows=66
2025-04-13 Fiorentina vs Parma: combined_future_rows=66, features_future_rows=66
2025-04-14 Napoli vs Empoli: combined_future_rows=61, features_future_rows=61
2025-04-19 Lecce vs Como: combined_future_rows=60, features_future_rows=60
2025-04-19 Monza vs Napoli: combined_future_rows=60, features_future_rows=60
2025-04-19 Roma vs Verona: combined_future_rows=60, features_future_rows=60
2025-04-20 Empoli vs Venezia: combined_future_rows=57, features_future_rows=57
2025-04-20 Milan vs Atalanta: combined_future_rows=57, features_future_rows=57
2025-04-20 Bologna vs Inter: combined_future_rows=57, features_future_rows=57
2025-04-23 Parma vs Juventus: combined_future_rows=54, features_future_rows=54
