Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,sim_source,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Date_str,Time_str,DateTime_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie
2023-09-27,Verona,Atalanta,0.1846877617341944,0.221301884263249,0.5940103540025564,Away,0.5940103540025564,simulation_2023_2024_predictions.csv,A,17:30:00,A,4.2,3.75,1.83,,,,4.33,3.75,1.78,4.3,3.7,1.83,,,,4.63,3.78,1.82,4.2,3.5,1.67,both,2023-09-27,17:30:00,2023-09-27 17:30:00,54,A,True,32,0.5925925925925926,1.6834723389277761,1.83,B365A
2023-09-27,Inter,Sassuolo,0.6740829016947238,0.2041744203177866,0.1217426779874894,Home,0.6740829016947238,simulation_2023_2024_predictions.csv,H,19:45:00,A,1.33,5.5,8.0,,,,1.35,5.5,8.0,1.33,5.5,8.0,,,,1.32,5.99,9.3,1.25,5.0,8.0,both,2023-09-27,19:45:00,2023-09-27 19:45:00,55,H,False,32,0.5818181818181818,1.4834970557566172,1.35,BWH
2023-09-27,Lazio,Torino,0.539940635746264,0.2885578671629503,0.1715014970907857,Home,0.539940635746264,simulation_2023_2024_predictions.csv,H,19:45:00,H,2.15,3.25,3.5,,,,2.1,3.3,3.6,2.2,3.3,3.45,,,,2.17,3.37,3.7,2.0,3.0,3.4,both,2023-09-27,19:45:00,2023-09-27 19:45:00,56,H,True,33,0.5892857142857143,1.8520554553518231,2.2,IWH
2023-09-27,Napoli,Udinese,0.7201721243811411,0.187665942725592,0.0921619328932669,Home,0.7201721243811411,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.36,5.0,8.5,,,,1.35,5.25,8.25,1.4,4.9,7.5,,,,1.39,5.16,8.46,1.29,4.6,7.5,both,2023-09-27,19:45:00,2023-09-27 19:45:00,57,H,True,34,0.5964912280701754,1.388556938189354,1.4,IWH
2023-09-28,Frosinone,Fiorentina,0.1810835473257909,0.2328700826471131,0.5860463700270959,Away,0.5860463700270959,simulation_2023_2024_predictions.csv,A,17:30:00,D,3.75,3.6,1.95,,,,3.5,3.6,2.0,3.6,3.6,2.0,,,,3.78,3.67,2.03,3.4,3.4,1.85,both,2023-09-28,17:30:00,2023-09-28 17:30:00,58,A,False,34,0.5862068965517241,1.7063496186381375,2.03,PSA
2023-09-28,Monza,Bologna,0.3647105190335397,0.360430603169196,0.2748588777972642,Home,0.3647105190335397,simulation_2023_2024_predictions.csv,H,17:30:00,D,2.38,3.3,3.0,,,,2.37,3.4,2.95,2.4,3.35,3.0,,,,2.49,3.35,3.06,2.3,3.1,2.7,both,2023-09-28,17:30:00,2023-09-28 17:30:00,59,H,False,34,0.576271186440678,2.741900624774789,2.49,PSH
2023-09-28,Genoa,Roma,0.1957803212246655,0.2285460801152289,0.5756735986601055,Away,0.5756735986601055,simulation_2023_2024_predictions.csv,A,19:45:00,H,3.8,3.25,2.05,,,,3.6,3.2,2.15,3.65,3.25,2.15,,,,3.85,3.31,2.14,3.3,3.0,2.05,both,2023-09-28,19:45:00,2023-09-28 19:45:00,60,A,False,34,0.5666666666666667,1.7370954692511948,2.15,BWA
2023-09-30,Lecce,Napoli,0.1710486274669647,0.2305026759318178,0.5984486966012174,Away,0.5984486966012174,simulation_2023_2024_predictions.csv,A,14:00:00,A,4.75,3.8,1.75,,,,4.4,3.7,1.78,4.6,3.75,1.75,,,,4.84,3.9,1.76,4.8,3.75,1.7,both,2023-09-30,14:00:00,2023-09-30 14:00:00,61,A,True,35,0.5737704918032787,1.670987013054455,1.78,BWA
2023-09-30,Milan,Lazio,0.5895684751808646,0.2414306013437486,0.1690009234753867,Home,0.5895684751808646,simulation_2023_2024_predictions.csv,H,17:00:00,H,1.73,3.6,5.0,,,,1.75,3.7,4.6,1.75,3.6,5.0,,,,1.78,3.72,5.04,1.73,3.7,4.75,both,2023-09-30,17:00:00,2023-09-30 17:00:00,62,H,True,36,0.5806451612903226,1.69615581920866,1.78,PSH
2023-09-30,Salernitana,Inter,0.1007769159956536,0.1781071532002374,0.721115930804109,Away,0.721115930804109,simulation_2023_2024_predictions.csv,A,19:45:00,A,8.0,4.75,1.4,,,,7.25,4.75,1.42,7.5,4.8,1.4,,,,8.16,4.81,1.43,7.5,4.75,1.4,both,2023-09-30,19:45:00,2023-09-30 19:45:00,63,A,True,37,0.5873015873015873,1.386739575819536,1.43,PSA
