season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts,__season_norm,__squad_norm,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2011-2012,Udinese,0,26.0,26.7,50.05,38.0,418.0,3420.0,38.0,1.34,0.92,2.26,1.24,4.0,5.0,88.0,3.0,2.16,55.15,473.0,184.0,31.95,12.47,4.84,0.09,0.26,18.1,,,,,64,2011-2012,udinese,26.0,16.0,24.807692307692307,26.4375,0.3076923076923077,0.0384615384615384,0.5,0.5384615384615384,0.9615384615384616,51.0,35.0,,,,,0.0,88.0,3.0,12.0,0.0,12.0,3.6553438226162074
2012-2013,Atalanta,0,35.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.0,0.66,1.66,0.87,5.0,5.0,126.0,12.0,1.53,55.15,473.0,148.0,31.95,12.47,3.89,0.09,0.22,18.1,,,,,40,2012-2013,atalanta,35.0,18.0,27.0,27.25,0.1428571428571428,0.0571428571428571,0.4571428571428571,0.4571428571428571,0.9428571428571428,38.0,25.0,,,,,0.0,120.0,12.0,8.6,0.0,8.6,4.345382945285314
2012-2013,Bologna,0,31.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.18,0.74,1.92,1.08,4.0,5.0,106.0,3.0,1.82,55.15,473.0,165.0,31.95,12.47,4.34,0.09,0.25,18.1,,,,,44,2012-2013,bologna,31.0,17.0,25.967741935483872,26.125,0.2258064516129032,0.0967741935483871,0.3548387096774194,0.4516129032258064,0.9032258064516128,45.0,28.0,,,,,0.0,103.0,3.0,10.4,0.0,10.4,4.061886843719652
2012-2013,Cagliari,0,25.0,26.1,50.05,38.0,408.0,3420.0,38.0,1.08,0.71,1.79,0.89,7.0,9.0,109.0,9.0,1.61,55.15,473.0,157.0,31.95,12.47,4.13,0.09,0.22,18.1,,,,,47,2012-2013,cagliari,25.0,18.0,25.24,25.72222222222222,0.2,0.08,0.36,0.48,0.92,41.0,27.0,,,,,0.0,112.0,9.0,8.4,0.0,8.4,4.176122603564219
2012-2013,Catania,0,29.0,27.9,50.05,38.0,418.0,3420.0,38.0,1.32,1.0,2.32,1.29,1.0,2.0,95.0,7.0,2.29,55.15,473.0,155.0,31.95,12.47,4.08,0.09,0.32,18.1,,,,,56,2012-2013,catania,29.0,14.0,25.79310344827586,27.714285714285715,0.1724137931034483,0.0689655172413793,0.3103448275862069,0.4827586206896552,0.9310344827586208,50.0,38.0,,,,,0.0,95.0,7.0,13.4,0.0,13.4,4.320873839736154
2012-2013,Chievo,0,35.0,28.6,50.05,38.0,417.0,3420.0,38.0,0.97,0.63,1.61,0.84,5.0,6.0,105.0,4.0,1.47,55.15,473.0,121.0,31.95,12.47,3.18,0.09,0.26,18.1,,,,,45,2012-2013,chievo,35.0,17.0,27.142857142857142,28.823529411764707,0.2285714285714285,0.0857142857142857,0.3428571428571428,0.4571428571428571,0.9142857142857144,37.0,24.0,,,,,0.0,102.0,4.0,7.2,0.0,7.2,5.456474066986618
2012-2013,Fiorentina,0,30.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.84,1.47,3.32,1.66,7.0,10.0,93.0,3.0,3.13,55.15,473.0,220.0,31.95,12.47,5.79,0.09,0.29,18.1,,,,,70,2012-2013,fiorentina,30.0,14.0,25.766666666666666,26.307692307692307,0.2333333333333333,0.1,0.4,0.4666666666666667,0.9,70.0,56.0,,,,,0.0,91.0,3.0,14.6,0.0,14.6,4.207409993163813
2012-2013,Genoa,0,37.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.0,0.82,1.82,0.95,2.0,4.0,105.0,4.0,1.76,55.15,473.0,160.0,31.95,12.47,4.21,0.09,0.23,18.1,,,,,38,2012-2013,genoa,37.0,17.0,26.16216216216216,27.529411764705884,0.2432432432432432,0.081081081081081,0.3783783783783784,0.5135135135135135,0.918918918918919,38.0,31.0,,,,,0.0,106.0,4.0,8.4,0.0,8.4,4.543087016516372
2012-2013,Inter,0,36.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.37,1.11,2.47,1.26,4.0,5.0,87.0,4.0,2.37,55.15,473.0,196.0,31.95,12.47,5.16,0.09,0.24,18.1,,,,,54,2012-2013,inter,36.0,16.0,25.86111111111111,27.73333333333333,0.3055555555555556,0.0833333333333333,0.3333333333333333,0.6388888888888888,0.9166666666666666,52.0,42.0,,,,,0.0,84.0,4.0,11.6,0.0,11.6,5.851264956169869
2012-2013,Juventus,1,28.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.87,1.29,3.16,1.66,8.0,11.0,77.0,1.0,2.95,55.15,473.0,265.0,31.95,12.47,6.97,0.09,0.24,18.1,,,,,87,2012-2013,juventus,28.0,17.0,27.178571428571427,26.866666666666667,0.1071428571428571,0.1071428571428571,0.4285714285714285,0.4642857142857143,0.8928571428571429,71.0,49.0,,,,,0.0,77.0,1.0,14.6,0.0,14.6,4.172694053171843
2012-2013,Lazio,0,28.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.26,0.79,2.05,1.08,7.0,9.0,91.0,8.0,1.87,55.15,473.0,186.0,31.95,12.47,4.89,0.09,0.22,18.1,,,,,61,2012-2013,lazio,28.0,15.0,28.321428571428573,29.133333333333333,0.1071428571428571,0.0714285714285714,0.4642857142857143,0.6071428571428571,0.9285714285714286,48.0,30.0,,,,,0.0,89.0,8.0,11.4,0.0,11.4,5.048311572738923
2012-2013,Milan,0,29.0,26.9,50.05,38.0,418.0,3420.0,38.0,1.68,0.95,2.63,1.42,10.0,11.0,99.0,7.0,2.37,55.15,473.0,241.0,31.95,12.47,6.34,0.09,0.22,18.1,,,,,72,2012-2013,milan,29.0,20.0,26.55172413793104,27.22222222222222,0.2068965517241379,0.0689655172413793,0.4482758620689655,0.5862068965517241,0.9310344827586208,64.0,36.0,,,,,0.0,100.0,7.0,12.8,0.0,12.8,4.64132221690999
2012-2013,Napoli,0,27.0,28.5,50.05,38.0,418.0,3420.0,38.0,1.89,1.45,3.34,1.71,7.0,10.0,90.0,0.0,3.16,55.15,473.0,235.0,31.95,12.47,6.18,0.09,0.28,18.1,,,,,78,2012-2013,napoli,27.0,14.0,27.55555555555556,28.0,0.1481481481481481,0.074074074074074,0.5185185185185185,0.5925925925925926,0.925925925925926,72.0,55.0,,,,,0.0,87.0,0.0,18.2,0.0,18.2,4.281744192888377
2012-2013,Palermo,0,36.0,26.9,50.05,38.0,418.0,3420.0,38.0,0.89,0.68,1.58,0.84,2.0,2.0,98.0,8.0,1.53,55.15,473.0,178.0,31.95,12.47,4.68,0.09,0.18,18.1,,,,,32,2012-2013,palermo,36.0,16.0,26.11111111111111,27.2,0.2222222222222222,0.0833333333333333,0.3333333333333333,0.5277777777777778,0.9166666666666666,34.0,26.0,,,,,0.0,97.0,8.0,8.0,0.0,8.0,4.578070571619682
2012-2013,Parma,0,33.0,28.1,50.05,38.0,418.0,3420.0,38.0,1.16,0.76,1.92,1.08,3.0,5.0,109.0,3.0,1.84,55.15,473.0,194.0,31.95,12.47,5.11,0.09,0.21,18.1,,,,,49,2012-2013,parma,33.0,14.0,25.90909090909091,27.642857142857142,0.2727272727272727,0.0909090909090909,0.3333333333333333,0.6060606060606061,0.9090909090909092,44.0,29.0,,,,,0.0,110.0,3.0,9.4,0.0,9.4,5.039615786220937
