season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts
2012-2013,Siena,0,37.0,28.9,50.05,38.0,418.0,3420.0,38.0,0.92,0.74,1.66,0.82,4.0,7.0,108.0,6.0,1.55,55.15,473.0,119.0,31.95,12.47,3.13,0.09,0.26,18.1,,,,,30
2012-2013,Torino,0,29.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.18,0.84,2.03,1.05,5.0,6.0,86.0,5.0,1.89,55.15,473.0,153.0,31.95,12.47,4.03,0.09,0.26,18.1,,,,,39
2012-2013,Udinese,0,30.0,26.3,50.05,38.0,418.0,3420.0,38.0,1.55,0.97,2.53,1.45,4.0,6.0,90.0,6.0,2.42,55.15,473.0,176.0,31.95,12.47,4.63,0.09,0.31,18.1,,,,,66
2013-2014,Atalanta,0,31.0,28.4,50.05,38.0,418.0,3420.0,38.0,1.13,0.84,1.97,1.08,2.0,3.0,90.0,0.0,1.92,55.15,473.0,167.0,31.95,12.47,4.39,0.09,0.25,18.1,,,,,50
2013-2014,Bologna,0,28.0,28.6,50.05,38.0,418.0,3420.0,38.0,0.74,0.32,1.05,0.61,5.0,6.0,104.0,0.0,0.92,55.15,473.0,166.0,31.95,12.47,4.37,0.09,0.14,18.1,,,,,29
2013-2014,Cagliari,0,31.0,27.2,50.05,38.0,418.0,3420.0,38.0,0.89,0.55,1.45,0.76,5.0,8.0,104.0,0.0,1.32,55.15,473.0,139.0,31.95,12.47,3.66,0.09,0.21,18.1,,,,,39
2013-2014,Catania,0,34.0,27.2,50.05,38.0,418.0,3420.0,38.0,0.89,0.61,1.5,0.82,3.0,3.0,102.0,0.0,1.42,55.15,473.0,166.0,31.95,12.47,4.37,0.09,0.19,18.1,,,,,32
2013-2014,Chievo,0,36.0,28.9,50.05,38.0,418.0,3420.0,38.0,0.87,0.63,1.5,0.71,6.0,7.0,107.0,0.0,1.34,55.15,473.0,149.0,31.95,12.47,3.92,0.09,0.18,18.1,,,,,36
2013-2014,Fiorentina,0,31.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.71,1.08,2.79,1.42,11.0,11.0,90.0,0.0,2.5,55.15,473.0,189.0,31.95,12.47,4.97,0.09,0.29,18.1,,,,,65
2013-2014,Genoa,0,31.0,27.2,50.05,38.0,418.0,3420.0,38.0,1.03,0.61,1.63,0.89,5.0,9.0,100.0,0.0,1.5,55.15,473.0,150.0,31.95,12.47,3.95,0.09,0.23,18.1,,,,,44
2013-2014,Hellas Verona,0,29.0,28.4,50.05,38.0,418.0,3420.0,38.0,1.58,1.0,2.58,1.37,8.0,8.0,71.0,0.0,2.37,55.15,473.0,173.0,31.95,12.47,4.55,0.09,0.3,18.1,,,,,54
2013-2014,Inter,0,28.0,27.6,50.05,38.0,418.0,3420.0,38.0,1.55,1.26,2.82,1.55,0.0,1.0,73.0,0.0,2.82,55.15,473.0,205.0,31.95,12.47,5.39,0.09,0.29,18.1,,,,,60
2013-2014,Juventus,1,26.0,28.3,50.05,38.0,418.0,3420.0,38.0,2.05,1.42,3.47,1.95,4.0,4.0,70.0,0.0,3.37,55.15,473.0,243.0,31.95,12.47,6.39,0.09,0.3,18.1,,,,,102
2013-2014,Lazio,0,30.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.34,0.79,2.13,1.16,7.0,8.0,90.0,0.0,1.95,55.15,473.0,198.0,31.95,12.47,5.21,0.09,0.22,18.1,,,,,56
2013-2014,Livorno,0,31.0,25.7,50.05,38.0,418.0,3420.0,38.0,0.97,0.61,1.58,0.87,4.0,4.0,115.0,0.0,1.47,55.15,473.0,154.0,31.95,12.47,4.05,0.09,0.21,18.1,,,,,25
2013-2014,Milan,0,32.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.45,0.87,2.32,1.37,3.0,5.0,92.0,0.0,2.24,55.15,473.0,225.0,31.95,12.47,5.92,0.09,0.23,18.1,,,,,57
2013-2014,Napoli,0,30.0,27.1,50.05,38.0,418.0,3420.0,38.0,2.0,1.34,3.34,1.82,7.0,9.0,79.0,0.0,3.16,55.15,473.0,258.0,31.95,12.47,6.79,0.09,0.27,18.1,,,,,78
2013-2014,Parma,0,30.0,29.5,50.05,38.0,418.0,3420.0,38.0,1.47,1.0,2.47,1.39,3.0,6.0,103.0,0.0,2.39,55.15,473.0,172.0,31.95,12.47,4.53,0.09,0.31,18.1,,,,,58
2013-2014,Roma,0,29.0,27.5,50.05,38.0,417.0,3420.0,38.0,1.84,1.34,3.18,1.68,6.0,6.0,87.0,0.0,3.03,55.15,473.0,239.0,31.95,12.47,6.29,0.09,0.27,18.1,,,,,85
2013-2014,Sampdoria,0,33.0,25.3,50.05,38.0,418.0,3420.0,38.0,1.21,0.76,1.97,1.11,4.0,5.0,110.0,0.0,1.87,55.15,473.0,195.0,31.95,12.47,5.13,0.09,0.22,18.1,,,,,45
2013-2014,Sassuolo,0,38.0,26.5,50.05,38.0,418.0,3420.0,38.0,1.13,0.66,1.79,0.95,7.0,8.0,101.0,0.0,1.61,55.15,473.0,170.0,31.95,12.47,4.47,0.09,0.21,18.1,,,,,34
2013-2014,Torino,0,26.0,27.1,50.05,38.0,418.0,3420.0,38.0,1.5,0.92,2.42,1.37,5.0,8.0,94.0,0.0,2.29,55.15,473.0,192.0,31.95,12.47,5.05,0.09,0.27,18.1,,,,,57
2013-2014,Udinese,0,27.0,25.8,50.05,38.0,418.0,3420.0,38.0,1.18,0.66,1.84,1.03,6.0,8.0,85.0,0.0,1.68,55.15,473.0,177.0,31.95,12.47,4.66,0.09,0.22,18.1,,,,,44
2014-2015,Atalanta,0,32.0,28.1,46.4,38.0,418.0,3420.0,38.0,0.97,0.55,1.53,0.87,4.0,5.0,113.0,0.0,1.42,15162.0,473.0,144.0,31.95,12.47,3.79,0.09,0.23,18.1,,,,,37
2014-2015,Cagliari,0,29.0,25.7,48.2,38.0,418.0,3420.0,38.0,1.18,0.82,2.0,1.08,4.0,7.0,115.0,0.0,1.89,10896.0,473.0,193.0,31.95,12.47,5.08,0.09,0.21,18.1,,,,,34
2014-2015,Cesena,0,33.0,27.3,44.4,38.0,418.0,3420.0,38.0,0.89,0.61,1.5,0.76,5.0,6.0,107.0,0.0,1.37,16260.0,473.0,121.0,31.95,12.47,3.18,0.09,0.24,18.1,,,,,24
2014-2015,Chievo,0,27.0,29.1,44.8,38.0,418.0,3420.0,38.0,0.71,0.53,1.24,0.68,1.0,2.0,86.0,0.0,1.21,11317.0,473.0,151.0,31.95,12.47,3.97,0.09,0.17,18.1,,,,,43
2014-2015,Empoli,0,26.0,25.1,49.4,38.0,418.0,3420.0,38.0,1.13,0.92,2.05,1.05,3.0,3.0,64.0,0.0,1.97,9180.0,473.0,184.0,31.95,12.47,4.84,0.09,0.22,18.1,,,,,42
2014-2015,Fiorentina,0,30.0,27.9,55.9,38.0,418.0,3420.0,38.0,1.61,1.08,2.68,1.55,2.0,7.0,86.0,0.0,2.63,30321.0,473.0,222.0,31.95,12.47,5.84,0.09,0.27,18.1,,,,,64
2014-2015,Genoa,0,33.0,26.0,50.9,38.0,418.0,3420.0,38.0,1.53,1.08,2.61,1.39,5.0,7.0,108.0,0.0,2.47,20031.0,473.0,184.0,31.95,12.47,4.84,0.09,0.29,18.1,,,,,59
2014-2015,Hellas Verona,0,30.0,29.7,44.1,38.0,418.0,3420.0,38.0,1.26,0.92,2.18,1.16,4.0,6.0,105.0,0.0,2.08,19303.0,473.0,170.0,31.95,12.47,4.47,0.09,0.26,18.1,,,,,46
2014-2015,Inter,0,34.0,26.5,56.6,38.0,418.0,3420.0,38.0,1.53,0.95,2.47,1.39,5.0,7.0,101.0,0.0,2.34,37062.0,473.0,205.0,31.95,12.47,5.39,0.09,0.26,18.1,,,,,55
2014-2015,Juventus,1,28.0,28.8,56.2,38.0,418.0,3420.0,38.0,1.87,1.16,3.03,1.71,6.0,9.0,76.0,0.0,2.87,38533.0,473.0,221.0,31.95,12.47,5.82,0.09,0.29,18.1,,,,,87
2014-2015,Lazio,0,29.0,28.0,52.2,38.0,418.0,3420.0,38.0,1.84,1.24,3.08,1.76,3.0,5.0,114.0,0.0,3.0,35105.0,473.0,232.0,31.95,12.47,6.11,0.09,0.29,18.1,,,,,69
2014-2015,Milan,0,35.0,28.1,51.3,38.0,418.0,3420.0,38.0,1.42,0.87,2.29,1.13,11.0,11.0,96.0,0.0,2.0,36661.0,473.0,161.0,31.95,12.47,4.24,0.09,0.27,18.1,,,,,52
2014-2015,Napoli,0,26.0,27.0,54.8,38.0,418.0,3420.0,38.0,1.71,1.08,2.79,1.61,4.0,9.0,86.0,0.0,2.68,33969.0,473.0,257.0,31.95,12.47,6.76,0.09,0.24,18.1,,,,,63
2014-2015,Palermo,0,31.0,26.8,49.6,38.0,418.0,3420.0,38.0,1.37,0.89,2.26,1.24,5.0,7.0,89.0,0.0,2.13,17481.0,473.0,169.0,31.95,12.47,4.45,0.09,0.28,18.1,,,,,49
2014-2015,Parma,0,38.0,28.4,44.9,38.0,418.0,3420.0,38.0,0.82,0.53,1.34,0.76,2.0,2.0,110.0,0.0,1.29,11905.0,473.0,131.0,31.95,12.47,3.45,0.09,0.22,18.1,,,,,19
2014-2015,Roma,0,32.0,28.0,57.3,38.0,418.0,3420.0,38.0,1.39,1.05,2.45,1.24,6.0,7.0,111.0,0.0,2.29,40135.0,473.0,185.0,31.95,12.47,4.87,0.09,0.25,18.1,,,,,70
2014-2015,Sampdoria,0,30.0,26.2,50.4,38.0,418.0,3420.0,38.0,1.21,0.79,2.0,1.16,2.0,2.0,103.0,0.0,1.95,21746.0,473.0,162.0,31.95,12.47,4.26,0.09,0.27,18.1,,,,,56
2014-2015,Sassuolo,0,27.0,27.0,47.0,38.0,418.0,3420.0,38.0,1.24,0.79,2.03,1.05,7.0,9.0,115.0,0.0,1.84,12820.0,473.0,164.0,31.95,12.47,4.32,0.09,0.24,18.1,,,,,49
2014-2015,Torino,0,31.0,28.1,49.2,38.0,418.0,3420.0,38.0,1.26,0.84,2.11,1.18,3.0,6.0,100.0,0.0,2.03,15674.0,473.0,177.0,31.95,12.47,4.66,0.09,0.25,18.1,,,,,54
2014-2015,Udinese,0,28.0,26.9,46.5,38.0,418.0,3420.0,38.0,1.08,0.71,1.79,1.05,1.0,1.0,99.0,0.0,1.76,8936.0,473.0,132.0,31.95,12.47,3.47,0.09,0.3,18.1,,,,,41
2015-2016,Atalanta,0,33.0,27.8,48.4,38.0,418.0,3420.0,38.0,1.0,0.61,1.61,0.89,4.0,6.0,114.0,0.0,1.5,15945.0,473.0,135.0,31.95,12.47,3.55,0.09,0.25,18.1,,,,,45
2015-2016,Bologna,0,31.0,27.0,45.8,38.0,418.0,3420.0,38.0,0.87,0.58,1.45,0.82,2.0,3.0,98.0,0.0,1.39,20908.0,473.0,110.0,31.95,12.47,2.89,0.09,0.28,18.1,,,,,42
2015-2016,Carpi,0,35.0,25.9,38.6,38.0,418.0,3420.0,38.0,0.87,0.58,1.45,0.74,5.0,8.0,115.0,0.0,1.32,8808.0,473.0,126.0,31.95,12.47,3.32,0.09,0.22,18.1,,,,,38
2015-2016,Chievo,0,26.0,30.5,45.3,38.0,418.0,3420.0,38.0,1.11,0.74,1.84,0.97,5.0,8.0,108.0,0.0,1.71,11132.0,473.0,130.0,31.95,12.47,3.42,0.09,0.28,18.1,,,,,50
2015-2016,Empoli,0,29.0,25.4,52.5,38.0,418.0,3420.0,38.0,1.03,0.76,1.79,1.0,1.0,2.0,101.0,0.0,1.76,10220.0,473.0,147.0,31.95,12.47,3.87,0.09,0.26,18.1,,,,,46
2015-2016,Fiorentina,0,26.0,27.6,61.0,38.0,418.0,3420.0,38.0,1.53,1.0,2.53,1.32,8.0,9.0,102.0,0.0,2.32,29698.0,473.0,178.0,31.95,12.47,4.68,0.09,0.28,18.1,,,,,64
2015-2016,Frosinone,0,28.0,26.5,39.7,38.0,418.0,3420.0,38.0,0.89,0.58,1.47,0.82,3.0,3.0,116.0,0.0,1.39,7250.0,473.0,127.0,31.95,12.47,3.34,0.09,0.24,18.1,,,,,31
2015-2016,Genoa,0,30.0,26.7,50.2,38.0,418.0,3420.0,38.0,1.16,0.92,2.08,1.05,4.0,4.0,91.0,0.0,1.97,20938.0,473.0,150.0,31.95,12.47,3.95,0.09,0.27,18.1,,,,,46
2015-2016,Hellas Verona,0,32.0,27.5,45.3,38.0,418.0,3420.0,38.0,0.89,0.61,1.5,0.74,6.0,7.0,97.0,0.0,1.34,18184.0,473.0,140.0,31.95,12.47,3.68,0.09,0.2,18.1,,,,,28
2015-2016,Inter,0,28.0,26.7,55.0,38.0,418.0,3420.0,38.0,1.29,0.92,2.21,1.24,2.0,3.0,104.0,0.0,2.16,45538.0,473.0,170.0,31.95,12.47,4.47,0.09,0.28,18.1,,,,,67
2015-2016,Juventus,1,28.0,28.3,56.0,38.0,418.0,3420.0,38.0,1.89,1.42,3.32,1.66,9.0,9.0,97.0,0.0,3.08,38463.0,473.0,213.0,31.95,12.47,5.61,0.09,0.3,18.1,,,,,91
