Season,Col1,Col2,Col3,Col4,Col5
2022-23,Matchday 19,,,,
2022-23,[Sat Jan/21],,,,
2022-23,15.00,Hellas Verona FC,2-0 (1-0),US Lecce,
2022-23,18.00,US Salernitana 1919,0-2 (0-1),SSC Napoli,
2022-23,20.45,ACF Fiorentina,0-1 (0-1),Torino FC,
2022-23,[Sun Jan/22],,,,
2022-23,12.30,UC Sampdoria,0-1 (0-0),Udinese Calcio,
2022-23,15.00,AC Monza,1-1 (0-1),US Sassuolo Calcio,
2022-23,18.00,Spezia Calcio,0-2 (0-1),AS Roma,
2022-23,20.45,Juventus FC,3-3 (2-1),Atalanta BC,
2022-23,[Mon Jan/23],,,,
2022-23,18.30,Bologna FC 1909,1-1 (0-0),US Cremonese,
2022-23,20.45,FC Internazionale Milano,0-1 (0-0),Empoli FC,
2022-23,[Tue Jan/24],,,,
2022-23,20.45,SS Lazio,4-0 (2-0),AC Milan,
2022-23,Matchday 20,,,,
2022-23,[Fri Jan/27],,,,
2022-23,18.30,Bologna FC 1909,2-0 (1-0),Spezia Calcio,
2022-23,20.45,US Lecce,1-2 (1-2),US Salernitana 1919,
2022-23,[Sat Jan/28],,,,
2022-23,15.00,Empoli FC,2-2 (1-0),Torino FC,
2022-23,18.00,US Cremonese,1-2 (1-1),FC Internazionale Milano,
2022-23,20.45,Atalanta BC,2-0 (1-0),UC Sampdoria,
2022-23,[Sun Jan/29],,,,
2022-23,12.30,AC Milan,2-5 (1-3),US Sassuolo Calcio,
2022-23,15.00,Juventus FC,0-2 (0-2),AC Monza,
2022-23,18.00,SS Lazio,1-1 (1-0),ACF Fiorentina,
2022-23,20.45,SSC Napoli,2-1 (1-0),AS Roma,
2022-23,[Mon Jan/30],,,,
2022-23,20.45,Udinese Calcio,1-1 (1-1),Hellas Verona FC,
2022-23,Matchday 21,,,,
2022-23,[Sat Feb/4],,,,
2022-23,15.00,US Cremonese,0-2 (0-0),US Lecce,
2022-23,18.00,AS Roma,2-0 (2-0),Empoli FC,
2022-23,20.45,US Sassuolo Calcio,1-0 (0-0),Atalanta BC,
2022-23,[Sun Feb/5],,,,
2022-23,12.30,Spezia Calcio,0-3 (0-0),SSC Napoli,
2022-23,15.00,Torino FC,1-0 (0-0),Udinese Calcio,
2022-23,18.00,ACF Fiorentina,1-2 (1-1),Bologna FC 1909,
2022-23,20.45,FC Internazionale Milano,1-0 (1-0),AC Milan,
2022-23,[Mon Feb/6],,,,
2022-23,18.30,Hellas Verona FC,1-1 (0-1),SS Lazio,
2022-23,20.45,AC Monza,2-2 (1-1),UC Sampdoria,
2022-23,[Tue Feb/7],,,,
2022-23,20.45,US Salernitana 1919,0-3 (0-2),Juventus FC,
2022-23,Matchday 22,,,,
2022-23,[Fri Feb/10],,,,
2022-23,20.45,AC Milan,1-0 (0-0),Torino FC,
2022-23,[Sat Feb/11],,,,
2022-23,15.00,Empoli FC,2-2 (0-2),Spezia Calcio,
2022-23,18.00,US Lecce,1-1 (1-1),AS Roma,
2022-23,20.45,SS Lazio,0-2 (0-1),Atalanta BC,
2022-23,[Sun Feb/12],,,,
2022-23,12.30,Udinese Calcio,2-2 (2-2),US Sassuolo Calcio,
2022-23,15.00,Bologna FC 1909,0-1 (0-1),AC Monza,
2022-23,18.00,Juventus FC,1-0 (1-0),ACF Fiorentina,
2022-23,20.45,SSC Napoli,3-0 (1-0),US Cremonese,
2022-23,[Mon Feb/13],,,,
2022-23,18.30,Hellas Verona FC,1-0 (1-0),US Salernitana 1919,
2022-23,20.45,UC Sampdoria,0-0,FC Internazionale Milano,
2022-23,Matchday 23,,,,
2022-23,[Fri Feb/17],,,,
2022-23,20.45,US Sassuolo Calcio,0-2 (0-2),SSC Napoli,
2022-23,[Sat Feb/18],,,,
2022-23,15.00,UC Sampdoria,1-2 (0-1),Bologna FC 1909,
2022-23,18.00,AC Monza,0-1 (0-1),AC Milan,
2022-23,20.45,FC Internazionale Milano,3-1 (1-1),Udinese Calcio,
2022-23,[Sun Feb/19],,,,
2022-23,12.30,Atalanta BC,1-2 (0-1),US Lecce,
2022-23,15.00,US Salernitana 1919,0-2 (0-0),SS Lazio,
2022-23,ACF Fiorentina,1-1 (0-1),Empoli FC,,
2022-23,18.00,Spezia Calcio,0-2 (0-1),Juventus FC,
2022-23,20.45,AS Roma,1-0 (1-0),Hellas Verona FC,
2022-23,[Mon Feb/20],,,,
2022-23,20.45,Torino FC,2-2 (1-0),US Cremonese,
2022-23,Matchday 24,,,,
2022-23,[Sat Feb/25],,,,
2022-23,18.00,Empoli FC,0-2 (0-2),SSC Napoli,
2022-23,20.45,US Lecce,0-1 (0-0),US Sassuolo Calcio,
2022-23,[Sun Feb/26],,,,
2022-23,12.30,Bologna FC 1909,1-0 (0-0),FC Internazionale Milano,
2022-23,15.00,US Salernitana 1919,3-0 (0-0),AC Monza,
2022-23,18.00,Udinese Calcio,2-2 (1-1),Spezia Calcio,
2022-23,20.45,AC Milan,2-0 (1-0),Atalanta BC,
2022-23,[Mon Feb/27],,,,
2022-23,18.30,Hellas Verona FC,0-3 (0-2),ACF Fiorentina,
2022-23,20.45,SS Lazio,1-0 (0-0),UC Sampdoria,
2022-23,[Tue Feb/28],,,,
2022-23,18.30,US Cremonese,2-1 (1-0),AS Roma,
2022-23,20.45,Juventus FC,4-2 (2-2),Torino FC,
2022-23,Matchday 25,,,,
2022-23,[Fri Mar/3],,,,
2022-23,20.45,SSC Napoli,0-1 (0-0),SS Lazio,
2022-23,[Sat Mar/4],,,,
2022-23,15.00,AC Monza,2-1 (1-0),Empoli FC,
2022-23,18.00,Atalanta BC,0-0,Udinese Calcio,
2022-23,20.45,ACF Fiorentina,2-1 (0-0),AC Milan,
2022-23,[Sun Mar/5],,,,
2022-23,12.30,Spezia Calcio,0-0,Hellas Verona FC,
2022-23,15.00,UC Sampdoria,0-0,US Salernitana 1919,
2022-23,18.00,FC Internazionale Milano,2-0 (1-0),US Lecce,
2022-23,20.45,AS Roma,1-0 (0-0),Juventus FC,
2022-23,[Mon Mar/6],,,,
2022-23,18.30,US Sassuolo Calcio,3-2 (2-0),US Cremonese,
2022-23,20.45,Torino FC,1-0 (1-0),Bologna FC 1909,
2022-23,Matchday 26,,,,
2022-23,[Fri Mar/10],,,,
2022-23,20.45,Spezia Calcio,2-1 (0-0),FC Internazionale Milano,
2022-23,[Sat Mar/11],,,,
2022-23,15.00,Empoli FC,0-1 (0-0),Udinese Calcio,
2022-23,18.00,SSC Napoli,2-0 (0-0),Atalanta BC,
2022-23,20.45,Bologna FC 1909,0-0,SS Lazio,
2022-23,[Sun Mar/12],,,,
2022-23,12.30,US Lecce,0-2 (0-2),Torino FC,
2022-23,15.00,Hellas Verona FC,1-1 (0-0),AC Monza,
2022-23,US Cremonese,0-2 (0-1),ACF Fiorentina,,
2022-23,18.00,AS Roma,3-4 (1-3),US Sassuolo Calcio,
2022-23,20.45,Juventus FC,4-2 (2-2),UC Sampdoria,
2022-23,[Mon Mar/13],,,,
2022-23,20.45,AC Milan,1-1 (1-0),US Salernitana 1919,
2022-23,Matchday 27,,,,
2022-23,[Fri Mar/17],,,,
2022-23,18.30,US Sassuolo Calcio,1-0 (0-0),Spezia Calcio,
2022-23,20.45,Atalanta BC,2-1 (0-1),Empoli FC,
2022-23,[Sat Mar/18],,,,
2022-23,15.00,AC Monza,1-1 (0-0),US Cremonese,
2022-23,18.00,US Salernitana 1919,2-2 (1-1),Bologna FC 1909,
2022-23,20.45,Udinese Calcio,3-1 (2-1),AC Milan,
2022-23,[Sun Mar/19],,,,
2022-23,12.30,UC Sampdoria,3-1 (2-0),Hellas Verona FC,
2022-23,15.00,Torino FC,0-4 (0-2),SSC Napoli,
2022-23,ACF Fiorentina,1-0 (1-0),US Lecce,,
2022-23,18.00,SS Lazio,1-0 (0-0),AS Roma,
2022-23,20.45,FC Internazionale Milano,0-1 (0-1),Juventus FC,
2022-23,Matchday 28,,,,
2022-23,[Sat Apr/1],,,,
2022-23,15.00,US Cremonese,1-3 (0-1),Atalanta BC,
2022-23,18.00,FC Internazionale Milano,0-1 (0-0),ACF Fiorentina,
2022-23,20.45,Juventus FC,1-0 (0-0),Hellas Verona FC,
2022-23,[Sun Apr/2],,,,
2022-23,12.30,Bologna FC 1909,3-0 (2-0),Udinese Calcio,
2022-23,15.00,Spezia Calcio,1-1 (0-1),US Salernitana 1919,
2022-23,AC Monza,0-2 (0-1),SS Lazio,,
2022-23,18.00,AS Roma,3-0 (0-0),UC Sampdoria,
2022-23,20.45,SSC Napoli,0-4 (0-2),AC Milan,
2022-23,[Mon Apr/3],,,,
2022-23,19.30,Empoli FC,1-0 (0-0),US Lecce,
2022-23,20.45,US Sassuolo Calcio,1-1 (1-0),Torino FC,
2022-23,Matchday 29,,,,
2022-23,[Fri Apr/7],,,,
2022-23,17.00,US Salernitana 1919,1-1 (0-1),FC Internazionale Milano,
2022-23,19.00,US Lecce,1-2 (0-1),SSC Napoli,
2022-23,21.00,AC Milan,0-0,Empoli FC,
2022-23,[Sat Apr/8],,,,
2022-23,12.30,Udinese Calcio,2-2 (1-0),AC Monza,
2022-23,14.30,ACF Fiorentina,1-1 (1-1),Spezia Calcio,
2022-23,16.30,UC Sampdoria,2-3 (1-1),US Cremonese,
2022-23,Atalanta BC,0-2 (0-0),Bologna FC 1909,,
2022-23,18.30,Torino FC,0-1 (0-1),AS Roma,
2022-23,Hellas Verona FC,2-1 (0-1),US Sassuolo Calcio,,
2022-23,20.45,SS Lazio,2-1 (1-1),Juventus FC,
2022-23,Matchday 30,,,,
2022-23,[Fri Apr/14],,,,
2022-23,18.30,US Cremonese,1-0 (1-0),Empoli FC,
2022-23,20.45,Spezia Calcio,0-3 (0-1),SS Lazio,
2022-23,[Sat Apr/15],,,,
2022-23,15.00,Bologna FC 1909,1-1 (1-1),AC Milan,
2022-23,18.00,SSC Napoli,0-0,Hellas Verona FC,
2022-23,20.45,FC Internazionale Milano,0-1 (0-0),AC Monza,
2022-23,[Sun Apr/16],,,,
2022-23,12.30,US Lecce,1-1 (1-0),UC Sampdoria,
2022-23,15.00,Torino FC,1-1 (0-1),US Salernitana 1919,
2022-23,18.00,US Sassuolo Calcio,1-0 (0-0),Juventus FC,
2022-23,20.45,AS Roma,3-0 (1-0),Udinese Calcio,
2022-23,[Mon Apr/17],,,,
2022-23,20.45,ACF Fiorentina,1-1 (0-1),Atalanta BC,
2022-23,Matchday 31,,,,
2022-23,[Fri Apr/21],,,,
2022-23,20.45,Hellas Verona FC,2-1 (1-0),Bologna FC 1909,
2022-23,[Sat Apr/22],,,,
2022-23,15.00,US Salernitana 1919,3-0 (2-0),US Sassuolo Calcio,
2022-23,18.00,SS Lazio,0-1 (0-1),Torino FC,
2022-23,20.45,UC Sampdoria,1-1 (1-0),Spezia Calcio,
2022-23,[Sun Apr/23],,,,
2022-23,12.30,Empoli FC,0-3 (0-0),FC Internazionale Milano,
2022-23,15.00,Udinese Calcio,3-0 (3-0),US Cremonese,
2022-23,AC Monza,3-2 (2-2),ACF Fiorentina,,
2022-23,18.00,AC Milan,2-0 (1-0),US Lecce,
2022-23,20.45,Juventus FC,0-1 (0-0),SSC Napoli,
2022-23,[Mon Apr/24],,,,
2022-23,20.45,Atalanta BC,3-1 (1-0),AS Roma,
2022-23,Matchday 32,,,,
2022-23,[Fri Apr/28],,,,
2022-23,18.30,US Lecce,1-0 (0-0),Udinese Calcio,
2022-23,20.45,Spezia Calcio,0-2 (0-1),AC Monza,
2022-23,[Sat Apr/29],,,,
2022-23,18.00,AS Roma,1-1 (0-0),AC Milan,
2022-23,20.45,Torino FC,1-2 (0-1),Atalanta BC,
2022-23,[Sun Apr/30],,,,
2022-23,12.30,FC Internazionale Milano,3-1 (0-1),SS Lazio,
2022-23,15.00,US Sassuolo Calcio,2-1 (0-1),Empoli FC,
2022-23,SSC Napoli,1-1 (0-0),US Salernitana 1919,,
2022-23,US Cremonese,1-1 (1-0),Hellas Verona FC,,
2022-23,18.00,ACF Fiorentina,5-0 (1-0),UC Sampdoria,
2022-23,20.45,Bologna FC 1909,1-1 (1-0),Juventus FC,
2022-23,Matchday 33,,,,
2022-23,[Wed May/3],,,,
2022-23,18.00,UC Sampdoria,0-2 (0-1),Torino FC,
2022-23,US Salernitana 1919,3-3 (1-1),ACF Fiorentina,,
2022-23,Juventus FC,2-1 (2-1),US Lecce,,
2022-23,Atalanta BC,3-2 (1-1),Spezia Calcio,,
2022-23,21.00,AC Monza,1-1 (1-1),AS Roma,
2022-23,AC Milan,1-1 (0-0),US Cremonese,,
2022-23,SS Lazio,2-0 (1-0),US Sassuolo Calcio,,
2022-23,Hellas Verona FC,0-6 (0-3),FC Internazionale Milano,,
2022-23,[Thu May/4],,,,
2022-23,20.45,Udinese Calcio,1-1 (1-0),SSC Napoli,
2022-23,Empoli FC,3-1 (2-0),Bologna FC 1909,,
2022-23,Matchday 34,,,,
2022-23,[Sat May/6],,,,
2022-23,15.00,AC Milan,2-0 (2-0),SS Lazio,
2022-23,18.00,AS Roma,0-2 (0-1),FC Internazionale Milano,
2022-23,20.45,US Cremonese,2-0 (1-0),Spezia Calcio,
2022-23,[Sun May/7],,,,
2022-23,12.30,Atalanta BC,0-2 (0-0),Juventus FC,
2022-23,15.00,Torino FC,1-1 (0-0),AC Monza,
2022-23,18.00,SSC Napoli,1-0 (0-0),ACF Fiorentina,
2022-23,20.45,US Lecce,0-1 (0-0),Hellas Verona FC,
2022-23,[Mon May/8],,,,
2022-23,18.30,Udinese Calcio,2-0 (2-0),UC Sampdoria,
2022-23,Empoli FC,2-1 (1-0),US Salernitana 1919,,
2022-23,20.45,US Sassuolo Calcio,1-1 (1-1),Bologna FC 1909,
2022-23,Matchday 35,,,,
2022-23,[Fri May/12],,,,
2022-23,20.45,SS Lazio,2-2 (1-1),US Lecce,
2022-23,[Sat May/13],,,,
2022-23,15.00,US Salernitana 1919,1-0 (0-0),Atalanta BC,
2022-23,18.00,Spezia Calcio,2-0 (0-0),AC Milan,
2022-23,20.45,FC Internazionale Milano,4-2 (1-0),US Sassuolo Calcio,
2022-23,[Sun May/14],,,,
2022-23,12.30,Hellas Verona FC,0-1 (0-1),Torino FC,
2022-23,15.00,AC Monza,2-0 (1-0),SSC Napoli,
2022-23,ACF Fiorentina,2-0 (1-0),Udinese Calcio,,
2022-23,18.00,Bologna FC 1909,0-0,AS Roma,
2022-23,20.45,Juventus FC,2-0 (0-0),US Cremonese,
2022-23,[Mon May/15],,,,
2022-23,20.45,UC Sampdoria,1-1 (1-0),Empoli FC,
2022-23,Matchday 36,,,,
2022-23,[Fri May/19],,,,
2022-23,20.45,US Sassuolo Calcio,1-2 (1-0),AC Monza,
2022-23,[Sat May/20],,,,
2022-23,15.00,US Cremonese,1-5 (0-3),Bologna FC 1909,
2022-23,18.00,Atalanta BC,3-1 (1-1),Hellas Verona FC,
2022-23,20.45,AC Milan,5-1 (3-1),UC Sampdoria,
2022-23,[Sun May/21],,,,
2022-23,12.30,US Lecce,0-0,Spezia Calcio,
2022-23,15.00,Torino FC,1-1 (0-0),ACF Fiorentina,
2022-23,18.00,SSC Napoli,3-1 (0-0),FC Internazionale Milano,
2022-23,20.45,Udinese Calcio,0-1 (0-0),SS Lazio,
2022-23,[Mon May/22],,,,
2022-23,18.30,AS Roma,2-2 (0-1),US Salernitana 1919,
2022-23,20.45,Empoli FC,4-1 (2-0),Juventus FC,
2022-23,Matchday 37,,,,
2022-23,[Fri May/26],,,,
2022-23,20.45,UC Sampdoria,2-2 (1-2),US Sassuolo Calcio,
2022-23,[Sat May/27],,,,
2022-23,15.00,Spezia Calcio,0-4 (0-1),Torino FC,
2022-23,US Salernitana 1919,3-2 (1-2),Udinese Calcio,,
2022-23,18.00,ACF Fiorentina,2-1 (0-1),AS Roma,
2022-23,20.45,FC Internazionale Milano,3-2 (2-1),Atalanta BC,
2022-23,[Sun May/28],,,,
2022-23,12.30,Hellas Verona FC,1-1 (0-0),Empoli FC,
2022-23,15.00,AC Monza,0-1 (0-0),US Lecce,
2022-23,Bologna FC 1909,2-2 (0-1),SSC Napoli,,
2022-23,18.00,SS Lazio,3-2 (2-0),US Cremonese,
2022-23,20.45,Juventus FC,0-1 (0-1),AC Milan,
2022-23,Matchday 38,,,,
2022-23,[Fri Jun/2],,,,
2022-23,20.30,US Sassuolo Calcio,1-3 (0-0),ACF Fiorentina,
2022-23,[Sat Jun/3],,,,
2022-23,18.30,Torino FC,0-1 (0-1),FC Internazionale Milano,
2022-23,21.00,Empoli FC,0-2 (0-0),SS Lazio,
2022-23,US Cremonese,2-0 (1-0),US Salernitana 1919,,
2022-23,[Sun Jun/4],,,,
2022-23,18.30,SSC Napoli,2-0 (0-0),UC Sampdoria,
2022-23,21.00,Udinese Calcio,0-1 (0-0),Juventus FC,
2022-23,AS Roma,2-1 (1-1),Spezia Calcio,,
2022-23,AC Milan,3-1 (1-0),Hellas Verona FC,,
2022-23,US Lecce,2-3 (1-0),Bologna FC 1909,,
2022-23,Atalanta BC,5-2 (2-0),AC Monza,,
2023-24,= Italian Serie A 2023/24,,,,
2023-24,Matchday 1,,,,
2023-24,[Sat Aug/19],,,,
2023-24,18.30,Empoli FC,0-1 (0-0),Hellas Verona FC,
2023-24,Frosinone Calcio,1-3 (1-2),SSC Napoli,,
2023-24,20.45,Genoa CFC,1-4 (0-3),ACF Fiorentina,
2023-24,FC Internazionale Milano,2-0 (1-0),AC Monza,,
2023-24,[Sun Aug/20],,,,
2023-24,18.30,AS Roma,2-2 (1-1),US Salernitana 1919,
2023-24,US Sassuolo Calcio,0-2 (0-0),Atalanta BC,,
2023-24,20.45,US Lecce,2-1 (0-1),SS Lazio,
2023-24,Udinese Calcio,0-3 (0-3),Juventus FC,,
2023-24,[Mon Aug/21],,,,
2023-24,18.30,Torino FC,0-0,Cagliari Calcio,
2023-24,20.45,Bologna FC 1909,0-2 (0-2),AC Milan,
2023-24,Matchday 2,,,,
2023-24,[Sat Aug/26],,,,
2023-24,18.30,Frosinone Calcio,2-1 (2-0),Atalanta BC,
2023-24,AC Monza,2-0 (1-0),Empoli FC,,
2023-24,20.45,Hellas Verona FC,2-1 (2-0),AS Roma,
2023-24,AC Milan,4-1 (3-1),Torino FC,,
2023-24,[Sun Aug/27],,,,
2023-24,18.30,ACF Fiorentina,2-2 (2-0),US Lecce,
2023-24,Juventus FC,1-1 (0-1),Bologna FC 1909,,
2023-24,20.45,SS Lazio,0-1 (0-1),Genoa CFC,
2023-24,SSC Napoli,2-0 (1-0),US Sassuolo Calcio,,
2023-24,[Mon Aug/28],,,,
2023-24,18.30,US Salernitana 1919,1-1 (0-0),Udinese Calcio,
2023-24,20.45,Cagliari Calcio,0-2 (0-2),FC Internazionale Milano,
2023-24,Matchday 3,,,,
2023-24,[Fri Sep/1],,,,
2023-24,18.30,US Sassuolo Calcio,3-1 (1-0),Hellas Verona FC,
2023-24,20.45,AS Roma,1-2 (0-1),AC Milan,
2023-24,[Sat Sep/2],,,,
2023-24,18.30,Bologna FC 1909,2-1 (0-1),Cagliari Calcio,
2023-24,Udinese Calcio,0-0,Frosinone Calcio,,
2023-24,20.45,Atalanta BC,3-0 (2-0),AC Monza,
2023-24,SSC Napoli,1-2 (1-1),SS Lazio,,
2023-24,[Sun Sep/3],,,,
2023-24,18.30,FC Internazionale Milano,4-0 (1-0),ACF Fiorentina,
2023-24,Torino FC,1-0 (0-0),Genoa CFC,,
2023-24,20.45,Empoli FC,0-2 (0-1),Juventus FC,
2023-24,US Lecce,2-0 (1-0),US Salernitana 1919,,
2023-24,Matchday 4,,,,
2023-24,[Sat Sep/16],,,,
2023-24,15.00,Juventus FC,3-1 (2-0),SS Lazio,
2023-24,18.00,FC Internazionale Milano,5-1 (2-0),AC Milan,
2023-24,20.45,Genoa CFC,2-2 (1-0),SSC Napoli,
2023-24,[Sun Sep/17],,,,
2023-24,12.30,Cagliari Calcio,0-0,Udinese Calcio,
2023-24,15.00,Frosinone Calcio,4-2 (1-2),US Sassuolo Calcio,
2023-24,AC Monza,1-1 (1-1),US Lecce,,
2023-24,18.00,ACF Fiorentina,3-2 (2-1),Atalanta BC,
2023-24,20.45,AS Roma,7-0 (3-0),Empoli FC,
2023-24,[Mon Sep/18],,,,
2023-24,18.30,US Salernitana 1919,0-3 (0-2),Torino FC,
2023-24,20.45,Hellas Verona FC,0-0,Bologna FC 1909,
2023-24,Matchday 5,,,,
2023-24,[Fri Sep/22],,,,
2023-24,18.30,US Salernitana 1919,1-1 (0-1),Frosinone Calcio,
2023-24,20.45,US Lecce,1-0 (0-0),Genoa CFC,
2023-24,[Sat Sep/23],,,,
2023-24,15.00,AC Milan,1-0 (1-0),Hellas Verona FC,
2023-24,18.00,US Sassuolo Calcio,4-2 (2-1),Juventus FC,
2023-24,20.45,SS Lazio,1-1 (1-1),AC Monza,
2023-24,[Sun Sep/24],,,,
2023-24,12.30,Empoli FC,0-1 (0-0),FC Internazionale Milano,
2023-24,15.00,Atalanta BC,2-0 (1-0),Cagliari Calcio,
2023-24,Udinese Calcio,0-2 (0-1),ACF Fiorentina,,
2023-24,18.00,Bologna FC 1909,0-0,SSC Napoli,
2023-24,20.45,Torino FC,1-1 (0-0),AS Roma,
2023-24,Matchday 6,,,,
2023-24,[Tue Sep/26],,,,
2023-24,20.45,Juventus FC,1-0 (0-0),US Lecce,
2023-24,[Wed Sep/27],,,,
2023-24,18.30,Cagliari Calcio,1-3 (1-2),AC Milan,
2023-24,Empoli FC,1-0 (1-0),US Salernitana 1919,,
2023-24,Hellas Verona FC,0-1 (0-1),Atalanta BC,,
2023-24,20.45,FC Internazionale Milano,1-2 (1-0),US Sassuolo Calcio,
2023-24,SS Lazio,2-0 (0-0),Torino FC,,
2023-24,SSC Napoli,4-1 (2-0),Udinese Calcio,,
2023-24,[Thu Sep/28],,,,
2023-24,18.30,Frosinone Calcio,1-1 (0-1),ACF Fiorentina,
2023-24,AC Monza,0-0,Bologna FC 1909,,
2023-24,20.45,Genoa CFC,4-1 (2-1),AS Roma,
2023-24,Matchday 7,,,,
2023-24,[Sat Sep/30],,,,
2023-24,15.00,US Lecce,0-4 (0-1),SSC Napoli,
2023-24,18.00,AC Milan,2-0 (0-0),SS Lazio,
2023-24,20.45,US Salernitana 1919,0-4 (0-0),FC Internazionale Milano,
2023-24,[Sun Oct/1],,,,
2023-24,12.30,Bologna FC 1909,3-0 (1-0),Empoli FC,
2023-24,15.00,Udinese Calcio,2-2 (1-2),Genoa CFC,
2023-24,18.00,Atalanta BC,0-0,Juventus FC,
2023-24,20.45,AS Roma,2-0 (1-0),Frosinone Calcio,
2023-24,[Mon Oct/2],,,,
2023-24,18.30,US Sassuolo Calcio,0-1 (0-0),AC Monza,
2023-24,Torino FC,0-0,Hellas Verona FC,,
2023-24,20.45,ACF Fiorentina,3-0 (2-0),Cagliari Calcio,
2023-24,Matchday 8,,,,
2023-24,[Fri Oct/6],,,,
2023-24,18.30,Empoli FC,0-0,Udinese Calcio,
2023-24,20.45,US Lecce,1-1 (0-1),US Sassuolo Calcio,
2023-24,[Sat Oct/7],,,,
2023-24,15.00,FC Internazionale Milano,2-2 (2-1),Bologna FC 1909,
2023-24,18.00,Juventus FC,2-0 (0-0),Torino FC,
2023-24,20.45,Genoa CFC,0-1 (0-0),AC Milan,
2023-24,[Sun Oct/8],,,,
2023-24,12.30,AC Monza,3-0 (2-0),US Salernitana 1919,
2023-24,15.00,Frosinone Calcio,2-1 (1-0),Hellas Verona FC,
2023-24,SS Lazio,3-2 (2-1),Atalanta BC,,
2023-24,18.00,Cagliari Calcio,1-4 (0-2),AS Roma,
2023-24,20.45,SSC Napoli,1-3 (1-1),ACF Fiorentina,
2023-24,Matchday 9,,,,
2023-24,[Sat Oct/21],,,,
2023-24,15.00,Hellas Verona FC,1-3 (0-2),SSC Napoli,
2023-24,18.00,Torino FC,0-3 (0-0),FC Internazionale Milano,
2023-24,20.45,US Sassuolo Calcio,0-2 (0-2),SS Lazio,
2023-24,[Sun Oct/22],,,,
2023-24,12.30,AS Roma,1-0 (0-0),AC Monza,
2023-24,15.00,Bologna FC 1909,2-1 (2-0),Frosinone Calcio,
2023-24,US Salernitana 1919,2-2 (0-0),Cagliari Calcio,,
2023-24,18.00,Atalanta BC,2-0 (0-0),Genoa CFC,
2023-24,20.45,AC Milan,0-1 (0-0),Juventus FC,
2023-24,[Mon Oct/23],,,,
2023-24,18.30,Udinese Calcio,1-1 (0-0),US Lecce,
2023-24,20.45,ACF Fiorentina,0-2 (0-1),Empoli FC,
2023-24,Matchday 10,,,,
2023-24,[Fri Oct/27],,,,
2023-24,20.45,Genoa CFC,1-0 (1-0),US Salernitana 1919,
2023-24,[Sat Oct/28],,,,
2023-24,15.00,US Sassuolo Calcio,1-1 (1-1),Bologna FC 1909,
2023-24,18.00,US Lecce,0-1 (0-1),Torino FC,
2023-24,20.45,Juventus FC,1-0 (0-0),Hellas Verona FC,
2023-24,[Sun Oct/29],,,,
2023-24,12.30,Cagliari Calcio,4-3 (0-2),Frosinone Calcio,
2023-24,15.00,AC Monza,1-1 (1-0),Udinese Calcio,
2023-24,18.00,FC Internazionale Milano,1-0 (0-0),AS Roma,
2023-24,20.45,SSC Napoli,2-2 (0-2),AC Milan,
2023-24,[Mon Oct/30],,,,
2023-24,18.30,Empoli FC,0-3 (0-2),Atalanta BC,
2023-24,20.45,SS Lazio,1-0 (0-0),ACF Fiorentina,
2023-24,Matchday 11,,,,
2023-24,[Fri Nov/3],,,,
2023-24,20.45,Bologna FC 1909,1-0 (0-0),SS Lazio,
2023-24,[Sat Nov/4],,,,
2023-24,15.00,US Salernitana 1919,0-2 (0-1),SSC Napoli,
2023-24,18.00,Atalanta BC,1-2 (0-1),FC Internazionale Milano,
2023-24,20.45,AC Milan,0-1 (0-0),Udinese Calcio,
2023-24,[Sun Nov/5],,,,
2023-24,12.30,Hellas Verona FC,1-3 (0-1),AC Monza,
2023-24,15.00,Cagliari Calcio,2-1 (0-0),Genoa CFC,
2023-24,18.00,AS Roma,2-1 (0-0),US Lecce,
2023-24,20.45,ACF Fiorentina,0-1 (0-1),Juventus FC,
2023-24,[Mon Nov/6],,,,
2023-24,18.30,Frosinone Calcio,2-1 (0-0),Empoli FC,
2023-24,20.45,Torino FC,2-1 (1-1),US Sassuolo Calcio,
2023-24,Matchday 12,,,,
2023-24,[Fri Nov/10],,,,
2023-24,18.30,US Sassuolo Calcio,2-2 (1-2),US Salernitana 1919,
2023-24,20.45,Genoa CFC,1-0 (1-0),Hellas Verona FC,
2023-24,[Sat Nov/11],,,,
2023-24,15.00,US Lecce,2-2 (0-2),AC Milan,
2023-24,18.00,Juventus FC,2-1 (0-0),Cagliari Calcio,
2023-24,20.45,AC Monza,1-1 (0-0),Torino FC,
2023-24,[Sun Nov/12],,,,
2023-24,12.30,SSC Napoli,0-1 (0-0),Empoli FC,
2023-24,15.00,ACF Fiorentina,2-1 (1-1),Bologna FC 1909,
2023-24,Udinese Calcio,1-1 (1-0),Atalanta BC,,
2023-24,18.00,SS Lazio,0-0,AS Roma,
2023-24,20.45,FC Internazionale Milano,2-0 (1-0),Frosinone Calcio,
2023-24,Matchday 13,,,,
2023-24,[Sat Nov/25],,,,
2023-24,15.00,US Salernitana 1919,2-1 (0-1),SS Lazio,
2023-24,18.00,Atalanta BC,1-2 (0-1),SSC Napoli,
2023-24,20.45,AC Milan,1-0 (1-0),ACF Fiorentina,
2023-24,[Sun Nov/26],,,,
2023-24,12.30,Cagliari Calcio,1-1 (1-0),AC Monza,
2023-24,15.00,Empoli FC,3-4 (2-2),US Sassuolo Calcio,
2023-24,Frosinone Calcio,2-1 (1-1),Genoa CFC,,
