stagione,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2018-2019,Genoa,31,26.0,43.4,38,418,3420,38.0,37,26,63,33,4,5,96,7,46.9,43.0,32.5,75.5,690,1274,0.97,0.68,1.66,0.87,1.55,1.24,0.86,2.09,1.13,1.99
2018-2019,Inter,23,27.7,59.4,38,418,3420,38.0,57,36,93,49,8,9,75,3,63.8,56.8,45.4,102.3,954,1917,1.5,0.95,2.45,1.29,2.24,1.68,1.2,2.88,1.5,2.69
2018-2019,Juventus,31,28.0,55.9,38,418,3420,38.0,66,44,110,59,7,8,78,4,60.7,54.5,42.5,97.1,926,1853,1.74,1.16,2.89,1.55,2.71,1.6,1.12,2.72,1.44,2.55
2018-2019,Lazio,30,27.9,50.8,38,418,3420,38.0,54,35,89,48,6,6,90,4,60.4,55.8,44.4,100.2,912,1737,1.42,0.92,2.34,1.26,2.18,1.59,1.17,2.76,1.47,2.64
2018-2019,Milan,23,24.8,54.1,38,418,3420,38.0,51,35,86,48,3,4,82,5,48.8,45.7,35.6,81.3,821,1759,1.34,0.92,2.26,1.26,2.18,1.28,0.94,2.22,1.2,2.14
2018-2019,Napoli,26,27.0,59.1,38,418,3420,38.0,73,54,127,70,3,4,75,5,61.8,58.8,49.4,108.2,934,2089,1.92,1.42,3.34,1.84,3.26,1.63,1.3,2.93,1.55,2.85
2018-2019,Parma,31,29.4,37.7,38,418,3420,38.0,40,22,62,36,4,5,84,3,40.2,36.3,26.9,63.1,487,990,1.05,0.58,1.63,0.95,1.53,1.06,0.71,1.77,0.95,1.66
2018-2019,Roma,26,27.5,51.4,38,418,3420,38.0,65,41,106,59,6,6,90,2,64.4,59.6,46.2,105.8,838,1678,1.71,1.08,2.79,1.55,2.63,1.69,1.22,2.91,1.57,2.78
2018-2019,Sampdoria,24,26.1,54.9,38,418,3420,38.0,60,41,101,50,10,12,92,3,50.5,41.8,34.1,75.9,630,1685,1.58,1.08,2.66,1.32,2.39,1.33,0.9,2.22,1.1,2.0
2018-2019,Sassuolo,29,25.4,53.8,38,418,3420,38.0,50,33,83,45,5,5,90,8,48.5,44.6,34.1,78.8,721,1511,1.32,0.87,2.18,1.18,2.05,1.28,0.9,2.17,1.17,2.07
2018-2019,SPAL,28,27.8,50.4,38,418,3420,38.0,44,30,74,37,7,8,113,3,43.9,37.7,28.2,65.8,910,1259,1.16,0.79,1.95,0.97,1.76,1.16,0.74,1.9,0.99,1.73
2018-2019,Torino,25,27.6,51.1,38,418,3420,38.0,50,31,81,45,5,6,89,4,46.6,41.9,32.0,73.9,770,1407,1.32,0.82,2.13,1.18,2.0,1.23,0.84,2.07,1.1,1.94
