season,squad,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2018-2019,Roma,35,18.0,24.142857142857142,26.72222222222222,0.4857142857142857,0.11428571428571428,0.3142857142857143,0.37142857142857144,0.8857142857142857,65.0,41.0,65.6,,0.15698787492022973,,4180.0,88.0,2.0,11.2,0.0,11.2,5.605369574544295
2018-2019,SPAL,37,16.0,25.16216216216216,27.625,0.3783783783783784,0.16216216216216217,0.35135135135135137,0.43243243243243246,0.8648648648648649,44.0,30.0,44.599999999999994,,0.10686616437262053,,3417.0,112.0,3.0,9.2,0.0,9.2,5.3099148011239485
2018-2019,Sampdoria,34,15.0,24.08823529411765,25.8,0.38235294117647056,0.11764705882352941,0.3235294117647059,0.4411764705882353,0.8823529411764706,60.0,41.0,51.4,,0.12313015704019163,,3994.0,89.0,3.0,14.0,0.0,14.0,4.51507674392862
2018-2019,Sassuolo,32,19.0,23.90625,24.789473684210527,0.53125,0.09375,0.3125,0.46875,0.90625,50.0,33.0,49.10000000000001,,0.11795008674763115,,3736.0,87.0,8.0,8.6,0.0,8.6,5.176618493984086
2018-2019,Torino,31,16.0,24.419354838709676,27.0,0.41935483870967744,0.12903225806451613,0.41935483870967744,0.5483870967741935,0.8709677419354839,50.0,31.0,47.2,,0.11305690104859745,,3564.0,88.0,4.0,9.4,0.0,9.4,5.252137301761935
2018-2019,Udinese,41,16.0,23.48780487804878,25.4,0.4634146341463415,0.12195121951219512,0.3902439024390244,0.43902439024390244,0.8780487804878049,37.0,30.0,43.1,,0.10322529139390069,,2873.0,90.0,4.0,9.4,0.0,9.4,4.422227669509521
2019-2020,Atalanta,36,16.0,24.194444444444443,26.666666666666668,0.3888888888888889,0.1111111111111111,0.5277777777777778,0.25,0.8888888888888888,96.0,68.0,85.1,,0.203962610849245,,4699.0,80.0,2.0,20.4,0.0,20.4,4.839241052918729
2019-2020,Bologna,38,17.0,23.526315789473685,26.294117647058822,0.5526315789473685,0.13157894736842105,0.3157894736842105,0.4473684210526316,0.868421052631579,48.0,31.0,57.8,,0.13880513381540677,,4120.0,109.0,7.0,10.4,0.0,10.4,5.740971017337235
2019-2020,Brescia,33,18.0,24.90909090909091,25.352941176470587,0.3333333333333333,0.12121212121212122,0.36363636363636365,0.42424242424242425,0.8787878787878788,34.0,22.0,44.699999999999996,,0.10753809141940657,,3009.0,95.0,6.0,7.2,0.0,7.2,4.83711972900478
2019-2020,Cagliari,40,17.0,25.025,27.11764705882353,0.325,0.125,0.375,0.45,0.875,50.0,34.0,42.2,,0.10135026952020068,,3228.0,108.0,6.0,12.0,0.0,12.0,5.5584885420224515
2019-2020,Fiorentina,40,15.0,23.425,25.083333333333332,0.55,0.125,0.325,0.45,0.875,48.0,30.0,54.699999999999996,,0.13120652434636604,,3735.0,105.0,5.0,9.2,0.0,9.2,4.390476289798414
2019-2020,Genoa,41,20.0,25.70731707317073,27.105263157894736,0.34146341463414637,0.14634146341463414,0.36585365853658536,0.36585365853658536,0.8536585365853658,46.0,28.0,49.4,,0.11865809068830234,,3132.0,107.0,10.0,7.8,0.0,7.8,5.173219028994541
2019-2020,Hellas,38,12.0,24.0,25.583333333333332,0.42105263157894735,0.07894736842105263,0.39473684210526316,0.5789473684210527,0.9210526315789473,45.0,27.0,51.30000000000001,,0.12349872943693997,,3857.0,87.0,7.0,8.0,0.0,8.0,4.753377177817325
2019-2020,Inter,34,16.0,25.823529411764707,27.2,0.29411764705882354,0.11764705882352941,0.4411764705882353,0.29411764705882354,0.8823529411764706,80.0,57.0,70.7,,0.16941345616230466,,4423.0,104.0,6.0,15.0,0.0,15.0,5.7759721114667855
2019-2020,Juventus,38,15.0,25.842105263157894,27.8,0.3684210526315789,0.10526315789473684,0.3157894736842105,0.47368421052631576,0.8947368421052632,73.0,47.0,71.80000000000001,,0.17189370361503475,,4359.0,87.0,3.0,16.2,0.0,16.2,5.435251881527408
2019-2020,Lazio,32,16.0,25.25,28.0,0.28125,0.125,0.5,0.25,0.875,77.0,45.0,68.8,,0.16473342556134937,,4261.0,99.0,2.0,19.8,0.0,19.8,5.01610310127101
2019-2020,Lecce,45,18.0,24.155555555555555,28.0,0.35555555555555557,0.1111111111111111,0.4222222222222222,0.3333333333333333,0.8888888888888888,52.0,30.0,56.4,,0.13537082966637332,,3457.0,98.0,5.0,9.6,0.0,9.6,4.795620898067298
2019-2020,Milan,37,18.0,24.243243243243242,24.61111111111111,0.40540540540540543,0.13513513513513514,0.32432432432432434,0.40540540540540543,0.8648648648648649,60.0,38.0,64.1,,0.15356562940878962,,4235.0,97.0,6.0,12.8,0.0,12.8,5.02441486590675
2019-2020,Napoli,33,18.0,25.87878787878788,26.5625,0.21212121212121213,0.15151515151515152,0.3333333333333333,0.42424242424242425,0.8484848484848485,60.0,45.0,62.599999999999994,,0.1497727091474599,,5011.0,73.0,2.0,12.2,0.0,12.2,4.385755178398412
2019-2020,Parma,36,16.0,26.02777777777778,29.071428571428573,0.3333333333333333,0.1388888888888889,0.2777777777777778,0.4722222222222222,0.8611111111111112,53.0,38.0,48.6,,0.11628648907321743,,3110.0,81.0,1.0,11.6,0.0,11.6,5.347822580191526
2019-2020,Roma,35,18.0,25.0,26.375,0.4,0.11428571428571428,0.37142857142857144,0.37142857142857144,0.8857142857142857,73.0,47.0,74.5,,0.1790243772194484,,4233.0,111.0,7.0,13.0,0.0,13.0,5.08168568604599
2019-2020,SPAL,40,19.0,24.775,27.176470588235293,0.375,0.1,0.475,0.4,0.9,27.0,17.0,41.0,,0.09840524827990826,,3157.0,98.0,4.0,5.6,0.0,5.6,5.586097670063349
2019-2020,Sampdoria,37,16.0,24.243243243243242,25.75,0.3783783783783784,0.13513513513513514,0.35135135135135137,0.4594594594594595,0.8648648648648649,48.0,25.0,50.9,,0.12231983124616165,,3340.0,111.0,7.0,9.6,0.0,9.6,4.675024690400668
2019-2020,Sassuolo,40,19.0,23.65,25.41176470588235,0.475,0.1,0.375,0.375,0.9,69.0,49.0,54.3,,0.1302956781400805,,4067.0,99.0,3.0,16.2,0.0,16.2,5.613856483326289
2019-2020,Torino,36,16.0,23.97222222222222,26.625,0.4722222222222222,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.8888888888888888,44.0,29.0,46.199999999999996,,0.11097766034110015,,3265.0,96.0,7.0,10.0,0.0,10.0,5.140795442125448
2019-2020,Udinese,34,16.0,23.735294117647058,26.3125,0.4117647058823529,0.08823529411764706,0.38235294117647056,0.35294117647058826,0.9117647058823529,37.0,26.0,42.5,,0.10209528893634058,,3244.0,77.0,3.0,9.6,0.0,9.6,4.336657164847009
2020-2021,Atalanta,37,17.0,24.37837837837838,27.0625,0.2972972972972973,0.16216216216216217,0.40540540540540543,0.35135135135135137,0.8378378378378378,90.0,65.0,75.8,,0.1817842677467491,,5007.0,67.0,3.0,21.0,0.0,21.0,4.37385763721576
2020-2021,Benevento,34,17.0,26.470588235294116,28.058823529411764,0.2647058823529412,0.11764705882352941,0.35294117647058826,0.5,0.8823529411764706,40.0,26.0,41.0,,0.09825065899832254,,2691.0,95.0,5.0,8.0,0.0,8.0,5.899333779117194
2020-2021,Bologna,44,17.0,23.272727272727273,26.0625,0.5454545454545454,0.11363636363636363,0.4772727272727273,0.3409090909090909,0.8863636363636364,49.0,38.0,57.5,,0.13811048839071258,,3718.0,82.0,4.0,11.6,0.0,11.6,6.0091543976713435
2020-2021,Cagliari,41,17.0,24.609756097560975,25.764705882352942,0.34146341463414637,0.0975609756097561,0.4634146341463415,0.4146341463414634,0.9024390243902439,43.0,30.0,48.099999999999994,,0.11521877994251037,,3034.0,77.0,3.0,9.8,0.0,9.8,4.847050901220699
2020-2021,Crotone,40,17.0,25.1,27.0,0.375,0.1,0.425,0.4,0.9,44.0,27.0,41.0,,0.09849192579741092,,3005.0,89.0,4.0,10.6,0.0,10.6,5.669531704081894
2020-2021,Fiorentina,41,14.0,24.73170731707317,25.928571428571427,0.43902439024390244,0.12195121951219512,0.4146341463414634,0.3170731707317073,0.8780487804878049,44.0,31.0,45.3,,0.10864177791989767,,3335.0,86.0,5.0,10.2,0.0,10.2,5.513730090618792
2020-2021,Genoa,44,21.0,25.613636363636363,27.55,0.36363636363636365,0.11363636363636363,0.4090909090909091,0.4772727272727273,0.8863636363636364,46.0,32.0,39.4,,0.09428092845178272,,2843.0,87.0,2.0,9.4,0.0,9.4,5.3752919189129305
2020-2021,Hellas,44,16.0,23.477272727272727,26.125,0.4772727272727273,0.09090909090909091,0.45454545454545453,0.38636363636363635,0.9090909090909091,38.0,30.0,46.1,,0.11029001302533295,,3563.0,91.0,1.0,9.6,0.0,9.6,4.692837869853088
2020-2021,Inter,34,16.0,25.676470588235293,27.75,0.35294117647058826,0.11764705882352941,0.4117647058823529,0.38235294117647056,0.8823529411764706,84.0,62.0,75.9,,0.18160791194767906,,4168.0,61.0,2.0,19.0,0.0,19.0,5.927443049508729
2020-2021,Juventus,42,18.0,24.142857142857142,27.0,0.5476190476190477,0.11904761904761904,0.38095238095238093,0.47619047619047616,0.8809523809523809,76.0,59.0,77.3,,0.18576769025367157,,4473.0,80.0,6.0,17.2,0.0,17.2,5.706527834884676
