Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Bb1X2,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,imp_H,imp_D,imp_A,imp_over2_5,imp_under2_5,spread_max_avg_H,bookies_count,market_raw_sum,market_vig,imp_B365_H,imp_B365_D,imp_B365_A,imp_imp_diff_H,imp_imp_diff_D,imp_imp_diff_A,odds_spread_H,odds_spread_D,odds_spread_A,has_bookies_1x2
I1,2017-10-01,,Spal,Crotone,1,1,D,17,13,5,4,12,17,12,6,2,1,0,0,I8.csv,1.91,3.4,4.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.4903728275762602,0.2754741472560756,0.23415302516766426,,,,,,,True
I1,2017-10-01,,Napoli,Cagliari,3,0,H,25,4,6,0,6,10,7,2,0,0,0,0,I8.csv,1.13,8.0,21.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.8367784031478807,0.11819494944463814,0.04502664740748119,,,,,,,True
I1,2017-10-01,,Lazio,Sassuolo,6,1,H,22,8,13,6,13,8,5,4,2,3,0,0,I8.csv,1.4,4.5,8.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.6728971962616822,0.20934579439252335,0.11775700934579439,,,,,,,True
I1,2017-10-01,,Milan,Roma,0,2,A,17,11,3,6,15,8,5,5,3,1,1,0,I8.csv,2.55,3.4,2.63,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.36770360013981135,0.27577770010485847,0.35651869975533035,,,,,,,True
I1,2017-10-01,,Benevento,Inter,1,2,A,11,22,2,7,13,10,1,11,2,3,0,0,I8.csv,11.0,5.0,1.29,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.0852723426758329,0.18759915388683238,0.7271285034373347,,,,,,,True
I1,2017-10-01,,Atalanta,Juventus,2,2,D,7,16,3,8,22,11,0,3,3,1,0,0,I8.csv,4.75,3.75,1.7,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.19759783029833397,0.25029058504455637,0.5521115846571096,,,,,,,True
I1,2017-10-01,,Chievo,Fiorentina,2,1,H,13,22,6,4,10,10,3,7,2,1,0,0,I8.csv,2.8,3.25,2.5,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.33539731682146534,0.2889576883384932,0.3756449948400412,,,,,,,True
I1,2017-10-14,,Juventus,Lazio,1,2,A,18,10,6,5,10,14,4,2,2,1,0,0,I8.csv,1.53,4.5,5.75,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.6226312939902545,0.21169463995668653,0.16567406605305904,,,,,,,True
I1,2017-10-14,,Roma,Napoli,0,1,A,10,16,2,6,12,9,5,2,2,2,0,0,I8.csv,3.2,3.4,2.25,,,,,,,33.0,,,,,,,,,,,,,,33.0,,,0.29731830547998445,0.27982899339292655,0.42285270112708895,,,,,,,True
I1,2017-10-15,,Sassuolo,Chievo,0,0,D,18,9,4,2,8,15,6,8,2,0,0,0,I8.csv,2.25,3.3,3.3,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.42307692307692313,0.2884615384615385,0.2884615384615385,,,,,,,True
I1,2017-10-15,,Sampdoria,Atalanta,3,1,H,11,21,7,11,10,14,4,6,3,3,0,0,I8.csv,2.8,3.3,2.6,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.34183266932270917,0.2900398406374502,0.36812749003984063,,,,,,,True
I1,2017-10-15,,Fiorentina,Udinese,2,1,H,13,8,6,2,11,14,4,4,1,1,0,0,I8.csv,1.67,3.8,5.5,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.5736872443797865,0.2521204468721693,0.17419230874804426,,,,,,,True
I1,2017-10-15,,Inter,Milan,3,2,H,15,21,6,6,17,12,2,7,6,2,0,0,I8.csv,2.2,3.4,3.4,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.4358974358974359,0.28205128205128205,0.28205128205128205,,,,,,,True
