Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,Result,home_season_pts,home_season_wins,home_season_draws,home_season_losses,home_season_gf,home_season_ga,home_season_matches,home_season_avg_shots,home_recent_pts_mean,home_recent_gd_mean,home_recent_matches,home_days_since_last,home_days_since_log,home_recent_shots_sum,home_recent_goals_sum,home_recent_conversion,home_recent_pts_ma_3,home_recent_pts_ma_5,home_recent_pts_ma_10,home_elo,away_season_pts,away_season_wins,away_season_draws,away_season_losses,away_season_gf,away_season_ga,away_season_matches,away_season_avg_shots,away_recent_pts_mean,away_recent_gd_mean,away_recent_matches,away_days_since_last,away_days_since_log,away_recent_shots_sum,away_recent_goals_sum,away_recent_conversion,away_recent_pts_ma_3,away_recent_pts_ma_5,away_recent_pts_ma_10,away_elo,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_pts_mean,elo_diff
2017-09-17,Torino,Sampdoria,2,2,D,2,2,D,,13,11,3,5,14,15,3,6,2,1,0,0,season-1718.csv,D,7,2,1,0,5,1,3,13.0,2.3333333333333335,1.3333333333333333,3,7,2.0794415416798357,39.0,5.0,0.1282051282051282,2.3333333333333335,2.3333333333333335,2.3333333333333335,1521.8473391553803,6,2,0,0,4,2,2,14.0,3.0,1.0,2,21,3.091042453358316,28.0,4.0,0.14285714285714285,3.0,3.0,3.0,1519.6138665412898,0.0,0.0,0.0,2.2334726140904877
2017-09-17,Spal,Cagliari,0,2,A,0,1,A,,12,11,3,3,12,21,7,4,1,3,0,0,season-1718.csv,A,4,1,1,1,3,4,3,9.333333333333334,1.3333333333333333,-0.3333333333333333,3,7,2.0794415416798357,28.0,3.0,0.10714285714285714,1.3333333333333333,1.3333333333333333,1.3333333333333333,1502.6704196095927,3,1,0,2,2,5,3,10.666666666666666,1.0,-1.0,3,7,2.0794415416798357,32.0,2.0,0.0625,1.0,1.0,1.0,1493.2770543984925,0.0,0.0,0.0,9.393365211100217
2017-09-17,Sassuolo,Juventus,1,3,A,0,1,A,,13,14,4,6,15,13,3,4,1,2,0,0,season-1718.csv,A,1,0,1,2,1,5,3,16.333333333333332,0.3333333333333333,-1.3333333333333333,3,7,2.0794415416798357,49.0,1.0,0.02040816326530612,0.3333333333333333,0.3333333333333333,0.3333333333333333,1482.6958015436821,9,3,0,0,10,2,3,16.333333333333332,3.0,2.6666666666666665,3,8,2.1972245773362196,49.0,10.0,0.20408163265306123,3.0,3.0,3.0,1526.5527089226025,0.0,0.0,0.0,-43.85690737892037
2017-09-17,Milan,Udinese,2,1,H,2,1,H,,21,4,7,2,13,10,10,3,1,2,0,0,season-1718.csv,H,6,2,0,1,6,5,3,17.333333333333332,2.0,0.3333333333333333,3,7,2.0794415416798357,52.0,6.0,0.11538461538461539,2.0,2.0,2.0,1512.0375225870614,3,1,0,2,4,5,3,14.333333333333334,1.0,-0.3333333333333333,3,7,2.0794415416798357,43.0,4.0,0.09302325581395349,1.0,1.0,1.0,1487.8665978002068,0.0,0.0,0.0,24.170924786854584
2017-09-17,Genoa,Lazio,2,3,A,0,1,A,,5,18,4,6,10,12,2,1,1,2,0,0,season-1718.csv,A,1,0,1,2,2,5,3,11.0,0.3333333333333333,-1.0,3,7,2.0794415416798357,33.0,2.0,0.06060606060606061,0.3333333333333333,0.3333333333333333,0.3333333333333333,1482.6588720812967,7,2,1,0,6,2,3,16.0,2.3333333333333335,1.3333333333333333,3,7,2.0794415416798357,48.0,6.0,0.125,2.3333333333333335,2.3333333333333335,2.3333333333333335,1517.8494148154036,0.0,0.0,0.0,-35.190542734106884
2017-09-17,Chievo,Atalanta,1,1,D,0,0,D,,15,10,4,6,13,11,6,5,2,0,0,0,season-1718.csv,D,3,1,0,2,3,6,3,12.666666666666666,1.0,-1.0,3,8,2.1972245773362196,38.0,3.0,0.07894736842105263,1.0,1.0,1.0,1492.921821195894,3,1,0,2,3,5,3,12.333333333333334,1.0,-0.6666666666666666,3,7,2.0794415416798357,37.0,3.0,0.08108108108108109,1.0,1.0,1.0,1488.1162823463176,0.0,0.0,0.0,4.805538849576351
2017-09-17,Napoli,Benevento,6,0,H,4,0,H,,27,6,14,0,6,7,8,1,0,1,0,0,season-1718.csv,H,9,3,0,0,9,2,3,16.333333333333332,3.0,2.3333333333333335,3,7,2.0794415416798357,49.0,9.0,0.1836734693877551,3.0,3.0,3.0,1531.8845486429764,0,0,0,3,1,4,3,16.0,0.0,-1.0,3,7,2.0794415416798357,48.0,1.0,0.020833333333333332,0.0,0.0,0.0,1468.1217842505562,0.0,0.0,0.0,63.762764392420195
2017-09-19,Bologna,Inter,1,1,D,1,0,H,,14,11,3,3,12,18,4,11,4,3,0,0,season-1718.csv,D,4,1,1,2,3,6,4,9.5,1.0,-0.75,4,3,1.3862943611198906,38.0,3.0,0.07894736842105263,1.0,1.0,1.0,1490.0319441334314,12,4,0,0,10,1,4,14.0,3.0,2.25,4,3,1.3862943611198906,56.0,10.0,0.17857142857142858,3.0,3.0,3.0,1538.503281194946,0.0,0.0,0.0,-48.47133706151476
2017-09-20,Lazio,Napoli,1,4,A,1,0,H,,4,17,2,11,9,13,3,2,2,3,0,0,season-1718.csv,A,10,3,1,0,9,4,4,16.5,2.5,1.25,4,3,1.3862943611198906,66.0,9.0,0.13636363636363635,3.0,2.5,2.5,1529.6934421914277,12,4,0,0,15,2,4,19.0,3.0,3.25,4,3,1.3862943611198906,76.0,15.0,0.19736842105263158,3.0,3.0,3.0,1537.4916774029828,0.0,0.0,0.0,-7.798235211555038
2017-09-20,Verona,Sampdoria,0,0,D,0,0,D,,14,17,6,5,17,6,4,7,3,1,0,0,season-1718.csv,D,1,0,1,3,1,11,4,9.75,0.25,-2.5,4,4,1.6094379124341003,39.0,1.0,0.02564102564102564,0.3333333333333333,0.25,0.25,1470.3427263431206,7,2,1,0,6,4,3,13.0,2.3333333333333335,0.6666666666666666,3,3,1.3862943611198906,39.0,6.0,0.15384615384615385,2.3333333333333335,2.3333333333333335,2.3333333333333335,1522.4742991594753,0.0,0.0,0.0,-52.13157281635472
